Number_of_Groups,Task_group
11,"{0: [76, 12], 1: [52, 25, 84, 67, 28, 18], 2: [55, 22], 3: [20, 90], 4: [78, 24, 59], 5: [85, 70], 6: [30, 2, 46, 61, 27], 7: [83, 80, 5, 89, 92, 10], 8: [81, 86, 87, 6, 9], 9: [57], 10: [91]}"
13,"{0: [85], 1: [86, 18, 10], 2: [46, 59], 3: [81, 20, 55, 22, 57, 6], 4: [52, 89, 70], 5: [78, 12, 61, 67], 6: [80, 84, 2], 7: [5, 30, 87, 28, 9], 8: [91], 9: [76, 24, 92], 10: [83], 11: [25, 27], 12: [90]}"
14,"{0: [85, 20, 30, 2, 91, 92, 10], 1: [80, 55, 9], 2: [46, 61, 6], 3: [28], 4: [78, 12, 89, 24], 5: [5, 59], 6: [67, 18], 7: [76, 90, 27], 8: [83], 9: [84, 87, 57, 70], 10: [52, 81], 11: [25], 12: [22], 13: [86]}"
13,"{0: [12, 57], 1: [27, 59], 2: [83, 20, 86, 84, 30, 55, 46], 3: [52, 78, 61], 4: [5, 70], 5: [80, 92], 6: [76, 25, 85], 7: [9, 18, 10], 8: [87, 89, 6, 28], 9: [67, 91], 10: [2, 90, 22], 11: [81], 12: [24]}"
12,"{0: [87, 89, 6, 28], 1: [76, 86, 30, 91, 92, 18, 10], 2: [24], 3: [83, 20, 5], 4: [52, 25, 85, 84, 78, 22, 9], 5: [61, 57, 59], 6: [70], 7: [80, 55, 90, 27], 8: [81, 2], 9: [12], 10: [67], 11: [46]}"
11,"{0: [83, 80], 1: [76, 85, 30, 55], 2: [81, 25, 20, 2, 12, 67], 3: [78, 61, 89], 4: [86, 87, 57], 5: [22, 28, 18], 6: [90, 6, 59, 92, 10], 7: [52, 9, 24, 27], 8: [91, 70], 9: [84, 46], 10: [5]}"
12,"{0: [76, 20, 61, 27], 1: [86, 46, 10], 2: [87, 91, 22, 28], 3: [81, 12, 92], 4: [85, 6, 18], 5: [80, 78, 89, 9], 6: [55, 90], 7: [5, 2, 67, 57], 8: [84, 30], 9: [83, 52, 59, 70], 10: [25], 11: [24]}"
14,"{0: [83, 67, 91, 9, 18], 1: [20, 57, 92], 2: [87, 59, 10], 3: [30, 70], 4: [90, 22, 27], 5: [76], 6: [55, 12], 7: [52, 81, 86, 84, 2], 8: [28], 9: [85, 78, 46], 10: [80, 61, 6], 11: [5, 24], 12: [25], 13: [89]}"
13,"{0: [2, 55], 1: [57], 2: [46, 61, 91, 24], 3: [30, 27, 18], 4: [83, 52, 5, 89, 6, 70], 5: [76, 9], 6: [86, 67, 90, 10], 7: [81, 78, 12, 28], 8: [22, 59], 9: [87, 92], 10: [25, 85], 11: [20], 12: [80, 84]}"
12,"{0: [78, 61, 24, 27], 1: [52, 80, 9], 2: [25, 85, 67, 91, 6, 70], 3: [12, 89, 92], 4: [30, 18], 5: [81, 76, 2], 6: [55, 46, 90, 22], 7: [5], 8: [83, 20, 10], 9: [86, 87, 57], 10: [59], 11: [84, 28]}"
12,"{0: [90, 6], 1: [20, 84, 91], 2: [52, 81, 61, 67, 57], 3: [83, 76, 9, 27], 4: [25, 46, 12, 22], 5: [80, 70], 6: [85, 24], 7: [78, 2], 8: [30, 92], 9: [5, 87, 28, 59, 10], 10: [86, 89, 18], 11: [55]}"
12,"{0: [61, 10], 1: [80, 90, 70, 92], 2: [52, 22, 24], 3: [18], 4: [25, 20, 91], 5: [85, 5, 30, 27], 6: [57, 6, 9], 7: [83, 81, 78, 87, 46], 8: [84, 67, 89, 28], 9: [76, 2, 55], 10: [86, 59], 11: [12]}"
15,"{0: [76, 86, 91, 6], 1: [84], 2: [85, 27], 3: [80, 2, 90, 57], 4: [46, 22], 5: [52], 6: [87], 7: [55, 12], 8: [5, 89], 9: [61, 67], 10: [81, 78, 9], 11: [83, 25, 20], 12: [30, 28, 59, 92], 13: [70, 18, 10], 14: [24]}"
10,"{0: [80, 9, 27], 1: [52, 20, 22], 2: [81, 5, 61, 89, 57, 6, 18, 10], 3: [76, 78, 90, 91], 4: [25, 87], 5: [84, 2, 28], 6: [86, 30, 67, 59], 7: [83, 46, 12, 92], 8: [85, 70], 9: [55, 24]}"
12,"{0: [85, 5, 2, 90, 22], 1: [52, 20, 87, 46, 91, 6, 28, 27, 70], 2: [84, 12], 3: [83, 67, 24, 10], 4: [80, 76, 89, 18], 5: [9, 59], 6: [92], 7: [86, 55], 8: [25, 78, 61], 9: [57], 10: [30], 11: [81]}"
13,"{0: [20, 2, 12, 9, 59, 70], 1: [76, 91], 2: [81, 27, 92], 3: [52, 85, 61, 22, 89], 4: [67, 6, 24, 10], 5: [84], 6: [78, 30], 7: [83, 57, 18], 8: [25, 87], 9: [86], 10: [90, 28], 11: [5, 55, 46], 12: [80]}"
13,"{0: [52, 86, 18], 1: [91, 70], 2: [81, 20], 3: [83, 78, 87, 22, 92], 4: [76, 84, 10], 5: [12, 90], 6: [28], 7: [80, 6, 27], 8: [5, 55, 61], 9: [25, 89, 57, 59], 10: [85, 30, 24], 11: [46, 9], 12: [2, 67]}"
14,"{0: [81, 5, 55, 10], 1: [76, 28, 59], 2: [80, 22], 3: [85, 46, 57], 4: [91], 5: [30, 12, 67, 70, 18], 6: [86, 27], 7: [84, 61, 92], 8: [83, 25, 87], 9: [90], 10: [52, 20], 11: [89], 12: [78, 2, 9], 13: [6, 24]}"
12,"{0: [25, 20, 5, 22], 1: [80, 67, 90, 57, 28, 9], 2: [83, 76, 84], 3: [30, 87, 46, 12, 89, 92], 4: [52, 85, 61, 27], 5: [86, 78], 6: [24, 10], 7: [70], 8: [81, 2, 18], 9: [55], 10: [59], 11: [91, 6]}"
11,"{0: [2, 87, 46, 61, 67], 1: [30, 12, 91, 89, 57, 10], 2: [25, 22, 27], 3: [83, 80, 59], 4: [9, 70], 5: [84, 78, 92], 6: [85, 90, 24], 7: [76, 20], 8: [52, 81, 5, 28], 9: [86, 55, 6], 10: [18]}"
13,"{0: [20, 30, 59, 10], 1: [83, 86, 55, 24, 92], 2: [57, 27], 3: [91, 89], 4: [9], 5: [80, 6, 18], 6: [52, 2, 46], 7: [61, 67, 90, 28], 8: [25, 78, 5, 87, 12, 22], 9: [85], 10: [76, 84], 11: [70], 12: [81]}"
10,"{0: [83, 52, 5, 67, 22, 28, 9, 70], 1: [78, 55, 89, 57, 10], 2: [90], 3: [85, 87, 61, 91, 59], 4: [80, 86, 30, 12, 6, 27, 18], 5: [25], 6: [2, 46, 92], 7: [81, 76], 8: [20, 84], 9: [24]}"
14,"{0: [76, 25, 87, 91, 89, 9], 1: [5, 30, 67, 90, 57, 6, 59], 2: [80, 20, 2, 24], 3: [92], 4: [52, 85, 27, 70], 5: [81, 55, 28, 18], 6: [86, 10], 7: [46], 8: [83], 9: [78], 10: [22], 11: [61], 12: [84], 13: [12]}"
11,"{0: [86, 78, 87, 91], 1: [83, 52, 67], 2: [76, 90], 3: [2, 61], 4: [84, 27, 18], 5: [80, 20, 9, 24], 6: [5, 6, 92, 10], 7: [25, 55, 46, 12], 8: [30, 22, 28], 9: [81, 85, 89, 59], 10: [57, 70]}"
14,"{0: [81, 10], 1: [25, 86, 2], 2: [78, 27], 3: [83, 24, 59], 4: [5], 5: [85, 89], 6: [61, 90, 18], 7: [84, 67, 91, 28], 8: [52, 55, 87, 9], 9: [80, 30, 12, 57, 6], 10: [22], 11: [20, 70, 92], 12: [76], 13: [46]}"
14,"{0: [52, 87, 46], 1: [84, 78, 10], 2: [85, 9, 24], 3: [30, 55, 92], 4: [6], 5: [83, 25, 86, 61, 90, 57], 6: [2, 12], 7: [91, 70], 8: [81, 5, 59], 9: [80, 20, 22], 10: [89], 11: [27], 12: [28, 18], 13: [76, 67]}"
14,"{0: [84, 61], 1: [52, 25, 86, 67, 28, 9], 2: [2, 27], 3: [83, 5, 91, 24], 4: [20, 6], 5: [89], 6: [55, 87, 10], 7: [92, 18], 8: [85, 90], 9: [80, 59], 10: [78, 70], 11: [81, 76, 30, 57], 12: [12], 13: [46, 22]}"
11,"{0: [5, 12], 1: [80, 76], 2: [81, 30, 9, 27, 59], 3: [83, 89, 57], 4: [85, 86, 87, 67, 22], 5: [78, 46, 61, 91], 6: [2, 70, 10], 7: [52, 25, 20, 55, 24], 8: [84, 6, 18], 9: [90], 10: [28, 92]}"
12,"{0: [76, 84, 5], 1: [83, 87, 67, 90, 27, 18], 2: [28], 3: [61, 92], 4: [52, 30, 22, 89, 24], 5: [2, 55, 12], 6: [81, 80, 91], 7: [85, 86], 8: [20, 70], 9: [46, 6, 9], 10: [25, 78, 59, 10], 11: [57]}"
10,"{0: [85, 30, 24], 1: [52, 9, 59, 70, 92], 2: [86, 89, 10], 3: [81, 25, 20, 12, 67, 91, 18], 4: [83, 87, 22], 5: [76, 78, 5, 46, 61, 90], 6: [6, 28], 7: [80, 2], 8: [84, 27], 9: [55, 57]}"
12,"{0: [20, 55, 67, 6, 28, 24], 1: [5, 22, 57], 2: [91], 3: [76, 86, 2, 89, 92], 4: [78], 5: [83, 12, 61], 6: [25, 46], 7: [81, 85, 84], 8: [52, 9, 27, 59, 70], 9: [90, 10], 10: [80, 30, 18], 11: [87]}"
9,"{0: [12, 61, 24], 1: [76, 90, 89, 27, 59], 2: [25, 87, 6, 70], 3: [86, 5, 46, 9, 18, 10], 4: [85, 84], 5: [80, 2, 55, 91, 57], 6: [81], 7: [52, 20, 78, 67, 22], 8: [83, 30, 28, 92]}"
10,"{0: [86, 84, 61, 10], 1: [83, 2, 12, 91, 57, 24, 18], 2: [78, 89, 70], 3: [20], 4: [52, 80, 25, 55, 87, 46, 22], 5: [28, 9], 6: [30, 27, 59, 92], 7: [5, 90], 8: [81, 76], 9: [85, 67, 6]}"
14,"{0: [84, 22], 1: [85, 92, 10], 2: [20, 70], 3: [80, 12, 6], 4: [5, 89, 57], 5: [61, 24], 6: [83, 46], 7: [86, 78, 30, 28], 8: [2, 91], 9: [76, 59, 18], 10: [52, 55], 11: [81, 87, 67], 12: [27], 13: [25, 90, 9]}"
14,"{0: [90, 27, 18], 1: [84, 61, 70, 10], 2: [5], 3: [76, 12, 57], 4: [52, 86, 2], 5: [25, 89], 6: [81, 20, 6], 7: [87], 8: [55, 28], 9: [80, 91, 22], 10: [78, 59], 11: [67, 24, 92], 12: [83, 30, 46, 9], 13: [85]}"
13,"{0: [76, 5, 91], 1: [52, 25, 67, 9], 2: [81, 78, 2, 59, 10], 3: [24, 92], 4: [85, 61], 5: [80, 55, 22], 6: [86, 27], 7: [83, 20, 84, 46], 8: [12, 90, 57, 28], 9: [87, 89, 70], 10: [30], 11: [6], 12: [18]}"
11,"{0: [20, 61, 91, 92, 18], 1: [89, 6, 9], 2: [2, 22], 3: [25, 87, 24, 59], 4: [86, 57, 70], 5: [52, 78, 55], 6: [83, 81, 76], 7: [84, 5, 67], 8: [85, 10], 9: [80, 12, 90, 27], 10: [30, 46, 28]}"
12,"{0: [22, 89, 24, 70], 1: [30, 6, 92], 2: [83, 78, 2, 18], 3: [46, 12, 91, 57], 4: [84, 61], 5: [80, 20, 86, 5, 10], 6: [81, 25], 7: [55], 8: [90, 59], 9: [52, 67, 27], 10: [76, 28, 9], 11: [85, 87]}"
14,"{0: [52, 25, 85, 20, 10], 1: [89], 2: [30, 91, 9], 3: [83, 80, 46, 67], 4: [5, 27, 70, 92], 5: [81, 2], 6: [86, 87, 28, 24, 18], 7: [84, 12, 90], 8: [61, 59], 9: [22, 6], 10: [76], 11: [78], 12: [55], 13: [57]}"
11,"{0: [57], 1: [25, 84, 22, 9, 27], 2: [81, 61, 10], 3: [83, 24, 70, 18], 4: [2, 91, 92], 5: [20, 5, 30, 87, 89], 6: [80, 59], 7: [46], 8: [52, 85, 12, 6, 28], 9: [76, 86, 55, 90], 10: [78, 67]}"
13,"{0: [12, 59, 92], 1: [52, 61, 67, 24, 18], 2: [20, 2, 89], 3: [55, 22, 6], 4: [85, 86, 90, 9], 5: [80, 25, 78, 91, 70], 6: [81, 84, 10], 7: [30], 8: [76, 46, 57, 28], 9: [87], 10: [83], 11: [5], 12: [27]}"
13,"{0: [67, 90], 1: [25, 20, 78, 22], 2: [5, 89, 28, 59], 3: [76, 85, 2, 46, 92], 4: [81, 86, 87, 10], 5: [83, 80, 12, 57], 6: [55, 91], 7: [61, 18], 8: [9, 24, 70], 9: [6, 27], 10: [52], 11: [84], 12: [30]}"
12,"{0: [91, 22, 70], 1: [85, 5, 55, 90], 2: [86, 84, 78, 30], 3: [80, 25], 4: [27, 59, 92], 5: [87, 57, 18], 6: [83, 20, 46, 28, 24, 10], 7: [81, 2, 61, 67, 6], 8: [76], 9: [89, 9], 10: [52], 11: [12]}"
13,"{0: [25, 84, 91, 24, 92], 1: [78, 12, 61, 70], 2: [87, 18], 3: [52, 30, 67, 28, 10], 4: [6], 5: [76, 55], 6: [86, 9], 7: [22], 8: [81, 46], 9: [85, 90, 57], 10: [83, 89, 59], 11: [20, 5, 2, 27], 12: [80]}"
11,"{0: [46, 12, 28], 1: [25, 22, 89, 10], 2: [2, 27, 59, 70], 3: [91], 4: [76, 20, 5, 30, 90, 24, 92], 5: [52, 80, 61, 18], 6: [83, 85, 78, 57], 7: [86, 55, 67], 8: [6, 9], 9: [84, 87], 10: [81]}"
14,"{0: [89, 18, 10], 1: [84, 61], 2: [85, 55, 46, 57], 3: [86, 87, 9], 4: [2, 12, 6, 27], 5: [83, 22, 24], 6: [20, 91], 7: [52], 8: [81, 90, 28, 92], 9: [80, 25, 30, 59, 70], 10: [67], 11: [78], 12: [76], 13: [5]}"
14,"{0: [25, 78, 57], 1: [52, 81, 85, 84], 2: [80, 2, 91], 3: [12, 67, 22, 10], 4: [30], 5: [46, 61], 6: [20, 5], 7: [90, 28, 92], 8: [70], 9: [9, 27], 10: [86, 55, 87, 24], 11: [6], 12: [83, 76, 18], 13: [89, 59]}"
12,"{0: [76, 86, 78, 2], 1: [85, 55, 59, 70], 2: [81, 25, 12, 91, 27], 3: [84, 87, 22, 92], 4: [67, 9], 5: [5, 89, 57], 6: [20, 46, 24, 10], 7: [52, 6, 28], 8: [83, 18], 9: [80], 10: [30, 61], 11: [90]}"
14,"{0: [52, 70, 10], 1: [20, 90], 2: [85, 91, 89, 6], 3: [61, 57, 27], 4: [46, 12], 5: [2, 87, 9], 6: [30, 22, 24], 7: [92], 8: [83, 81, 76, 84, 18], 9: [78, 55], 10: [86, 5, 67], 11: [25, 28], 12: [59], 13: [80]}"
12,"{0: [83, 5, 90, 57, 6], 1: [80, 85, 61], 2: [84, 78, 46, 10], 3: [2, 67], 4: [55, 89, 70, 18], 5: [81, 30, 12, 91, 9], 6: [25], 7: [76, 20, 22, 28], 8: [86, 24], 9: [87, 92], 10: [27], 11: [52, 59]}"
15,"{0: [83, 81, 30, 27], 1: [78], 2: [25, 85, 57], 3: [52, 90, 24], 4: [28, 10], 5: [46, 22, 70], 6: [80, 2, 61], 7: [12, 92], 8: [76, 55], 9: [5, 6], 10: [87, 91, 9], 11: [20, 84, 59], 12: [86], 13: [67, 18], 14: [89]}"
16,"{0: [52, 85, 78, 89], 1: [81, 55], 2: [83, 59], 3: [46, 28], 4: [20, 84, 90, 57, 70], 5: [80, 25, 30], 6: [86, 91], 7: [92], 8: [2, 9, 24], 9: [76, 10], 10: [61], 11: [87, 12, 22], 12: [6, 27], 13: [18], 14: [67], 15: [5]}"
