Task_Groups,Number_of_Task_Groups
"{0: [83, 20, 46, 90], 1: [76, 86, 84, 57], 2: [52, 61, 89, 9, 92], 3: [80, 55, 91, 27, 10], 4: [81, 30, 2, 12], 5: [85, 87, 6, 24], 6: [25, 67, 18], 7: [78, 59], 8: [22], 9: [5, 70], 10: [28]}",11
"{0: [81, 67, 89], 1: [76, 25], 2: [27, 59], 3: [84, 2, 87, 46, 22], 4: [30], 5: [80, 57, 28], 6: [90, 24, 10], 7: [78], 8: [6, 9], 9: [5], 10: [85, 91], 11: [61, 70], 12: [20, 55], 13: [86, 12], 14: [92], 15: [52], 16: [83, 18]}",17
"{0: [85, 2, 27], 1: [81, 87], 2: [5, 61, 89, 57], 3: [12, 24, 92], 4: [80], 5: [52, 25, 46, 91, 9], 6: [83, 76, 55, 22, 59], 7: [20, 84, 6, 28], 8: [90], 9: [10], 10: [86, 78, 67, 70], 11: [30], 12: [18]}",13
"{0: [46, 24], 1: [25, 86, 61, 18], 2: [52, 81, 5, 30, 27], 3: [76], 4: [67, 90, 89], 5: [80, 84, 70], 6: [85, 2], 7: [12, 28], 8: [78, 92], 9: [83], 10: [20, 9], 11: [6], 12: [57], 13: [55, 87, 22, 59, 10], 14: [91]}",15
"{0: [84, 46, 61, 67, 28, 27], 1: [81, 87, 59], 2: [85, 78, 55, 6], 3: [2, 90, 92], 4: [80, 30, 22, 10], 5: [20, 24, 70], 6: [86, 12, 89], 7: [52, 57, 9], 8: [91, 18], 9: [83, 5], 10: [76, 25]}",11
"{0: [55, 90], 1: [83, 2, 57], 2: [25, 87, 46], 3: [85, 61, 6, 9], 4: [84, 5, 12, 70], 5: [20], 6: [86, 89, 18], 7: [78], 8: [76, 30], 9: [80, 28, 92], 10: [81, 91, 27], 11: [52, 59, 10], 12: [22, 24], 13: [67]}",14
"{0: [86, 22, 24], 1: [2, 18], 2: [52, 85, 91, 57], 3: [25, 20, 5, 30, 46, 61, 9, 70], 4: [76, 55, 10], 5: [83, 84, 90, 6], 6: [89, 28, 92], 7: [80], 8: [81, 87, 12, 67, 27], 9: [78], 10: [59]}",11
"{0: [25, 85, 20, 30, 90, 91, 89], 1: [83, 2, 12, 57, 24], 2: [81, 86, 61, 9], 3: [76, 84, 5, 6], 4: [55, 67, 92, 10], 5: [22, 59, 18], 6: [80], 7: [46, 27], 8: [52, 87, 28], 9: [78, 70]}",10
"{0: [57], 1: [81, 80, 87, 12], 2: [25, 20, 91, 6, 59], 3: [78, 9], 4: [90, 18], 5: [5, 89], 6: [84, 2, 46, 67, 27, 70, 92, 10], 7: [85, 86, 55, 22], 8: [30], 9: [76], 10: [52, 61, 28], 11: [83, 24]}",12
"{0: [27], 1: [83, 57], 2: [55], 3: [76, 46, 6], 4: [5, 91, 92], 5: [2, 61], 6: [25, 78, 90, 10], 7: [52, 9, 24], 8: [86, 30, 12, 67, 22, 70, 18], 9: [84], 10: [81, 85, 59], 11: [20, 87], 12: [80, 89, 28]}",13
"{0: [61], 1: [6, 9], 2: [52], 3: [87, 89, 57, 10], 4: [76, 20, 2, 67, 70], 5: [81, 25, 5, 30, 27], 6: [92], 7: [12, 91], 8: [85, 84, 78, 46, 24, 59], 9: [55, 22], 10: [80, 86, 28, 18], 11: [83, 90]}",12
"{0: [5, 87, 61, 67, 90], 1: [76, 92], 2: [80, 84, 22], 3: [83, 81, 46, 28], 4: [85, 20, 86], 5: [89, 9], 6: [57], 7: [91, 24, 27], 8: [2, 59, 70], 9: [52], 10: [25, 30, 12], 11: [78, 55], 12: [10], 13: [6, 18]}",14
"{0: [87, 6], 1: [52, 57, 24, 27], 2: [78, 28, 9, 92, 10], 3: [80, 2, 59], 4: [83, 76, 20], 5: [89, 18], 6: [85, 84, 46, 90], 7: [81], 8: [25, 86, 30], 9: [70], 10: [67, 91], 11: [5], 12: [12, 61, 22], 13: [55]}",14
"{0: [80, 76, 85, 90, 57, 6, 27], 1: [83, 30, 46, 59], 2: [78, 91, 22], 3: [84, 87, 67, 18], 4: [52, 81, 25, 2, 12, 24, 92], 5: [20, 28, 10], 6: [5, 55, 9, 70], 7: [86, 61], 8: [89]}",9
"{0: [25, 12], 1: [83, 28], 2: [52, 78], 3: [90, 59], 4: [80, 84], 5: [76, 85, 61, 91], 6: [5, 24], 7: [67, 6, 9], 8: [22, 57], 9: [81, 30, 2], 10: [87, 89], 11: [55], 12: [92], 13: [46, 27], 14: [20, 86, 70, 18, 10]}",15
"{0: [78, 90, 89, 57], 1: [46, 67, 10], 2: [28, 59], 3: [80, 2, 6], 4: [25], 5: [83, 85, 30, 55, 61, 9], 6: [86, 5, 27, 92], 7: [52, 24], 8: [12, 22], 9: [70], 10: [81, 76, 84, 87], 11: [20, 91, 18]}",12
"{0: [80, 78, 55, 90, 89, 27], 1: [83, 46], 2: [30, 61, 22, 92], 3: [85, 67, 9, 70], 4: [76, 87, 91, 10], 5: [2, 6, 59], 6: [86], 7: [52, 81, 25, 57, 24], 8: [20, 84], 9: [5, 12, 28, 18]}",10
"{0: [81, 20, 12], 1: [76, 2, 90, 22], 2: [24, 18], 3: [25, 27, 92], 4: [46, 59], 5: [83, 86, 57], 6: [55, 61, 9], 7: [80, 84, 67, 70], 8: [85, 5, 87], 9: [78, 10], 10: [91, 6, 28], 11: [52, 30, 89]}",12
"{0: [90, 6], 1: [20, 84, 91], 2: [52, 81, 61, 67, 57], 3: [83, 76, 9, 27], 4: [25, 46, 12, 22], 5: [80, 70], 6: [85, 24], 7: [78, 2], 8: [30, 92], 9: [5, 87, 28, 59, 10], 10: [86, 89, 18], 11: [55]}",12
"{0: [28], 1: [83, 20, 86, 9, 18, 10], 2: [87, 57], 3: [81, 55, 67, 22], 4: [80, 91, 6], 5: [52, 85, 84], 6: [2, 92], 7: [30, 24, 70], 8: [25], 9: [78], 10: [12, 61], 11: [27, 59], 12: [76, 5, 46, 90, 89]}",13
"{0: [84, 78, 27, 18], 1: [30, 10], 2: [61, 70], 3: [83, 52, 20, 87], 4: [85], 5: [81, 6, 24, 92], 6: [12, 67, 91, 28], 7: [57, 59], 8: [5, 55], 9: [25, 22], 10: [76, 2], 11: [80, 86, 46, 90, 89, 9]}",12
"{0: [25, 78, 6], 1: [30, 10], 2: [12, 67, 89, 28, 92], 3: [85, 87, 46, 18], 4: [76], 5: [22, 57, 24, 27, 59], 6: [83, 20, 84], 7: [80, 5, 61, 9, 70], 8: [81, 91], 9: [52, 86, 90], 10: [55], 11: [2]}",12
"{0: [83, 22, 9], 1: [5, 89, 59, 10], 2: [25, 20, 78, 70], 3: [86, 55, 12], 4: [52, 30, 91, 6], 5: [87, 67, 90], 6: [61, 28, 18], 7: [2, 46, 57], 8: [80, 85, 24], 9: [81, 27, 92], 10: [76, 84]}",11
"{0: [67, 57, 70], 1: [80, 86, 92], 2: [83, 52, 25, 61, 59, 18], 3: [5, 2, 12], 4: [90, 91], 5: [85, 30], 6: [78, 27], 7: [55, 46, 28, 9], 8: [10], 9: [81, 20, 87], 10: [24], 11: [76, 89, 6], 12: [84], 13: [22]}",14
"{0: [83, 20, 2, 55, 46, 12], 1: [10], 2: [61, 27], 3: [81, 22], 4: [52, 92], 5: [87, 70], 6: [76, 9], 7: [80, 90, 57], 8: [86, 5, 91, 59], 9: [30, 28], 10: [24], 11: [78, 6], 12: [85, 89, 18], 13: [25, 84], 14: [67]}",15
"{0: [83, 18, 10], 1: [78, 30, 90], 2: [91, 22, 27], 3: [87, 46, 28, 92], 4: [81, 84, 70], 5: [20, 89, 6], 6: [25, 86, 2, 61, 57], 7: [59], 8: [85, 5, 67], 9: [52, 80, 55, 12, 24], 10: [76], 11: [9]}",12
"{0: [59], 1: [78, 46], 2: [85], 3: [80, 86, 12, 70], 4: [84, 5, 9], 5: [25, 67], 6: [20, 27], 7: [81, 57, 10], 8: [52, 2, 55, 24], 9: [90, 22, 92], 10: [18], 11: [76, 89], 12: [6], 13: [30, 91], 14: [83, 28], 15: [61], 16: [87]}",17
"{0: [81, 12, 6], 1: [70], 2: [83, 52, 76, 86, 55, 91, 92], 3: [25, 46, 57], 4: [20, 61, 90], 5: [80, 5, 24], 6: [22, 89, 27, 10], 7: [78, 87], 8: [85, 67, 28, 18], 9: [84, 30, 2, 9], 10: [59]}",11
"{0: [25, 85, 2, 12, 57], 1: [80, 76, 91, 9, 10], 2: [83, 84, 78, 61, 22], 3: [52, 20, 86, 30, 55, 46, 6], 4: [67], 5: [87, 70], 6: [5, 89, 24, 59], 7: [90, 28], 8: [27, 92, 18], 9: [81]}",10
"{0: [76, 25, 87, 91, 89, 9], 1: [5, 30, 67, 90, 57, 6, 59], 2: [80, 20, 2, 24], 3: [92], 4: [52, 85, 27, 70], 5: [81, 55, 28, 18], 6: [86, 10], 7: [46], 8: [83], 9: [78], 10: [22], 11: [61], 12: [84], 13: [12]}",14
"{0: [2, 87, 12, 61, 67, 10], 1: [70], 2: [90, 59], 3: [52, 55, 89], 4: [91, 18], 5: [25, 78, 22, 6], 6: [80, 46, 27], 7: [83, 85], 8: [86, 84, 9, 92], 9: [5, 30], 10: [76], 11: [81, 20, 57, 28, 24]}",12
"{0: [83, 25, 30, 59], 1: [81, 5, 87], 2: [78, 91, 22, 10], 3: [55, 57, 28], 4: [85, 86], 5: [52, 18], 6: [84, 92], 7: [2, 90, 6], 8: [20, 46, 67, 70], 9: [80, 9, 24], 10: [76], 11: [12, 61, 89, 27]}",12
"{0: [85, 5, 30, 70], 1: [57, 10], 2: [84, 12, 24], 3: [78, 9], 4: [80, 2], 5: [25, 87, 61, 67, 22], 6: [6, 27, 18], 7: [52, 55, 89, 92], 8: [83, 81, 28], 9: [46], 10: [76, 20, 90, 91], 11: [86, 59]}",12
"{0: [2, 55, 87], 1: [20, 84, 78, 22, 89], 2: [12, 67], 3: [76, 90, 57, 59], 4: [80, 30], 5: [52], 6: [81, 27], 7: [86, 24], 8: [25, 91, 18], 9: [83, 46], 10: [9, 70], 11: [6], 12: [61, 28, 92, 10], 13: [85, 5]}",14
"{0: [80, 61, 9], 1: [89], 2: [85, 20], 3: [81], 4: [30, 22], 5: [84, 46, 24], 6: [86, 67, 6, 28, 70], 7: [52, 87, 91], 8: [83, 2, 90, 59], 9: [57], 10: [18], 11: [76, 10], 12: [5], 13: [12], 14: [25, 27, 92], 15: [78, 55]}",16
"{0: [67, 57], 1: [25, 85, 20, 27], 2: [78, 2, 24, 59], 3: [76, 86], 4: [5, 92], 5: [83, 52, 91, 10], 6: [84, 30, 12, 6, 28, 9], 7: [55, 61, 22], 8: [81, 46, 90], 9: [87], 10: [80], 11: [70], 12: [89, 18]}",13
"{0: [81, 25, 78, 59, 92], 1: [83, 87, 57, 6], 2: [55], 3: [84, 10], 4: [86, 12, 9, 24], 5: [46, 91, 70, 18], 6: [30, 2, 22], 7: [85, 61, 67], 8: [52, 80, 76, 27], 9: [5, 90], 10: [20, 89, 28]}",11
"{0: [83, 86, 46, 22, 28, 92], 1: [52, 84, 6], 2: [81, 20, 90], 3: [85, 61, 67, 91, 89], 4: [5, 2, 18], 5: [78], 6: [12, 70], 7: [55, 87, 9, 27], 8: [10], 9: [24, 59], 10: [76, 25], 11: [80, 30], 12: [57]}",13
"{0: [20, 30], 1: [5], 2: [80, 57, 27, 92], 3: [25, 84, 12, 28, 59, 70], 4: [46, 67, 18, 10], 5: [61], 6: [81, 55, 87, 22], 7: [6], 8: [83, 85, 89, 24], 9: [76, 78], 10: [86, 90], 11: [52], 12: [2, 91], 13: [9]}",14
"{0: [78, 2], 1: [55, 12, 90, 91, 24, 59], 2: [80, 46, 67, 89, 28, 18], 3: [87, 61, 6], 4: [83, 52, 85, 57, 27, 92], 5: [81, 25, 20, 30, 22], 6: [76], 7: [86, 84, 9, 70, 10], 8: [5]}",9
"{0: [5, 91, 22, 6], 1: [76], 2: [80, 84, 27, 70, 18], 3: [52, 25, 85, 86, 9], 4: [2, 55, 67, 90], 5: [81, 20, 30, 28], 6: [46, 12, 57, 59], 7: [78, 61, 89, 10], 8: [24, 92], 9: [83], 10: [87]}",11
"{0: [52, 87, 6], 1: [20, 86, 78, 2, 22, 18], 2: [83, 55], 3: [90, 91, 89, 27], 4: [25, 84, 5, 67, 57, 10], 5: [76, 85], 6: [30, 24, 70, 92], 7: [81, 59], 8: [80, 46, 61], 9: [9], 10: [12, 28]}",11
"{0: [20, 46, 91], 1: [80, 76, 90], 2: [85, 70], 3: [83, 87, 59, 92, 18, 10], 4: [25, 84, 30, 12, 67, 57, 24], 5: [55, 9], 6: [81], 7: [52, 22, 89, 6], 8: [86], 9: [27], 10: [5], 11: [78, 61, 28], 12: [2]}",13
"{0: [86, 70], 1: [84, 92], 2: [83, 25, 85, 22, 89, 28], 3: [76, 2, 67], 4: [87, 12, 9], 5: [61, 6, 27], 6: [80, 91, 24], 7: [18], 8: [78, 55], 9: [20, 5, 90, 57], 10: [46], 11: [10], 12: [52, 81, 59], 13: [30]}",14
"{0: [5, 2, 91, 57, 6, 59], 1: [83, 52, 30, 28, 92], 2: [80, 61, 90, 9, 10], 3: [46, 89], 4: [81, 85, 20, 84, 22], 5: [87, 67, 27, 18], 6: [25, 78, 24], 7: [12], 8: [76], 9: [86, 55, 70]}",10
"{0: [52, 76, 25, 57, 59, 10], 1: [85, 78, 46], 2: [80, 5, 87, 28], 3: [84, 90, 22, 18], 4: [30, 70, 92], 5: [86, 9, 24, 27], 6: [20, 2], 7: [81], 8: [83], 9: [55, 67, 91], 10: [61, 6], 11: [12, 89]}",12
"{0: [20, 90, 57], 1: [76, 5, 27, 92], 2: [87, 61, 91, 59], 3: [67], 4: [83, 52, 86, 30, 46, 10], 5: [22, 9], 6: [81, 70], 7: [78, 89, 18], 8: [84, 24], 9: [85, 55], 10: [2, 12], 11: [25], 12: [80, 6, 28]}",13
"{0: [85, 30, 2, 90, 6], 1: [76, 20, 5, 55, 12, 61, 28, 27, 10], 2: [81, 91], 3: [25, 87, 18], 4: [92], 5: [46, 57], 6: [84], 7: [22, 59, 70], 8: [52, 9], 9: [86, 67, 89, 24], 10: [83, 80], 11: [78]}",12
"{0: [30, 55, 59], 1: [81, 91, 22, 28, 9, 70], 2: [80, 92], 3: [90, 6], 4: [52, 85, 67, 57, 27], 5: [83], 6: [78, 61, 18], 7: [25, 86, 2, 46], 8: [76, 20, 5, 87, 89, 24, 10], 9: [12], 10: [84]}",11
"{0: [20, 5, 70, 10], 1: [78, 89], 2: [86], 3: [12, 6, 28], 4: [55, 22, 59], 5: [81, 46, 90, 91], 6: [52, 80, 61], 7: [85, 87, 27], 8: [83, 76, 84, 67], 9: [30, 2, 57, 24], 10: [25, 18], 11: [9], 12: [92]}",13
"{0: [85, 30, 6, 9], 1: [20, 46, 61, 59], 2: [55, 87, 57, 70], 3: [83, 90, 28, 27], 4: [92], 5: [76, 12], 6: [84, 67], 7: [80, 24], 8: [86, 5, 89], 9: [91, 18], 10: [81], 11: [52, 78, 10], 12: [22], 13: [25, 2]}",14
"{0: [84, 5, 46, 90, 70], 1: [18], 2: [83, 55, 12], 3: [86, 30, 61, 27, 10], 4: [52, 76, 67, 92], 5: [25, 85], 6: [57, 6, 24], 7: [87, 28], 8: [20, 2, 59], 9: [81, 22], 10: [80, 9], 11: [91], 12: [78, 89]}",13
"{0: [2, 87, 61, 22], 1: [86, 10], 2: [81, 78, 9, 27, 92], 3: [12, 89], 4: [59], 5: [5], 6: [52, 30, 46, 67, 70], 7: [80, 25, 28], 8: [76, 85, 91, 57], 9: [84, 18], 10: [20, 24], 11: [83, 55], 12: [90], 13: [6]}",14
"{0: [25, 84, 55], 1: [52, 76], 2: [78, 46, 57, 28, 24], 3: [5, 91], 4: [61, 27], 5: [85, 20, 2, 9], 6: [83, 80, 87, 10], 7: [30, 90], 8: [22, 89], 9: [67, 70], 10: [86, 6, 59, 18], 11: [92], 12: [81, 12]}",13
