Year,School,FSM,VR_Band,Gender,VR_BAND_Student,Ethnicity,School_Gender,School_Denomination,ExamScore
3,1,43,12,1,2,1,1,1,5
3,1,43,12,1,3,1,1,1,28
3,1,43,12,0,3,1,1,1,19
3,1,43,12,1,3,1,1,1,22
3,1,43,12,0,1,1,1,1,2
3,1,43,12,1,3,1,1,1,11
3,1,43,12,1,2,1,1,1,33
3,1,43,12,0,2,1,1,1,9
3,1,43,12,0,2,1,1,1,7
3,1,43,12,0,3,1,1,1,11
3,1,43,12,1,3,1,1,1,36
3,1,43,12,1,3,1,1,1,10
3,1,43,12,1,3,1,1,1,22
3,1,43,12,1,3,1,1,1,30
3,1,43,12,1,2,1,1,1,9
3,1,43,12,0,1,1,1,1,11
3,1,43,12,1,3,1,1,1,23
3,1,43,12,0,1,1,1,1,7
3,1,43,12,1,3,1,1,1,15
3,1,43,12,1,1,1,1,1,8
3,1,43,12,0,3,1,1,1,3
3,1,43,12,1,3,1,1,1,14
3,1,43,12,1,3,1,1,1,41
3,1,43,12,1,3,1,1,1,10
3,1,43,12,1,3,5,1,1,17
3,1,43,12,1,3,1,1,1,30
3,1,43,12,1,3,7,1,1,32
3,1,43,12,0,1,1,1,1,12
3,1,43,12,1,3,1,1,1,2
3,1,43,12,1,1,1,1,1,5
3,1,43,12,0,3,1,1,1,6
3,1,43,12,0,1,7,1,1,15
3,1,43,12,0,2,1,1,1,19
3,1,43,12,1,2,1,1,1,35
3,1,43,12,0,1,1,1,1,10
3,1,43,12,1,3,1,1,1,15
3,1,43,12,1,3,1,1,1,4
3,1,43,12,0,1,1,1,1,16
3,1,43,12,1,3,1,1,1,5
3,1,43,12,1,3,1,1,1,7
3,1,43,12,0,3,1,1,1,14
3,1,43,12,0,3,1,1,1,23
3,1,43,12,0,2,1,1,1,43
3,1,43,12,1,2,1,1,1,14
3,1,43,12,0,2,1,1,1,3
3,1,43,12,1,3,1,1,1,24
3,1,43,12,1,1,1,1,1,12
3,1,43,12,1,1,1,1,1,7
3,1,43,12,1,3,1,1,1,49
3,1,43,12,0,3,1,1,1,24
2,2,54,26,0,3,1,1,1,30
2,2,54,26,0,2,1,1,1,60
2,2,54,26,0,2,1,1,1,48
2,2,54,26,0,2,1,1,1,25
2,2,54,26,1,3,1,1,1,15
2,2,54,26,1,3,1,1,1,30
2,2,54,26,0,3,11,1,1,32
2,2,54,26,0,2,1,1,1,32
2,2,54,26,0,1,11,1,1,1
2,2,54,26,1,1,10,1,1,3
2,2,54,26,1,3,5,1,1,13
2,2,54,26,0,2,1,1,1,17
2,2,54,26,1,2,11,1,1,20
2,2,54,26,1,2,1,1,1,40
2,2,54,26,1,2,1,1,1,45
2,2,54,26,1,3,5,1,1,5
2,2,54,26,0,2,1,1,1,45
2,2,54,26,1,3,6,1,1,2
2,2,54,26,0,1,4,1,1,1
2,2,54,26,0,2,10,1,1,21
2,2,54,26,1,1,1,1,1,29
2,2,54,26,0,1,11,1,1,10
2,2,54,26,1,3,1,1,1,10
2,2,54,26,0,3,1,1,1,30
2,2,54,26,1,3,1,1,1,32
2,2,54,26,0,3,5,1,1,14
2,2,54,26,1,3,1,1,1,38
2,2,54,26,0,3,5,1,1,12
2,2,54,26,1,2,1,1,1,32
2,2,54,26,0,2,11,1,1,39
2,2,54,26,0,3,1,1,1,18
2,2,54,26,1,1,1,1,1,3
2,2,54,26,0,3,1,1,1,11
2,2,54,26,1,3,1,1,1,20
2,2,54,26,0,3,1,1,1,25
2,2,54,26,0,3,1,1,1,13
2,2,54,26,1,2,1,1,1,26
2,2,54,26,0,3,1,1,1,18
2,2,54,26,1,3,6,1,1,35
2,2,54,26,1,1,2,1,1,1
2,2,54,26,1,1,5,1,1,9
2,2,54,26,1,3,1,1,1,46
2,2,54,26,0,1,1,1,1,12
2,2,54,26,1,3,1,1,1,39
2,2,54,26,0,1,1,1,1,14
2,2,54,26,0,2,1,1,1,50
2,2,54,26,0,3,1,1,1,1
2,2,54,26,1,2,1,1,1,41
3,2,54,26,0,1,1,1,1,4
3,2,54,26,1,2,1,1,1,70
3,2,54,26,1,3,1,1,1,56
3,2,54,26,0,2,1,1,1,48
3,2,54,26,0,3,6,1,1,40
3,2,54,26,0,3,9,1,1,28
3,2,54,26,1,2,11,1,1,70
3,2,54,26,0,1,9,1,1,19
3,2,54,26,1,1,6,1,1,1
3,2,54,26,0,3,5,1,1,12
3,2,54,26,1,1,6,1,1,9
3,2,54,26,1,2,1,1,1,47
3,2,54,26,1,2,1,1,1,30
3,2,54,26,1,1,9,1,1,17
3,2,54,26,1,1,5,1,1,11
3,2,54,26,0,1,5,1,1,24
3,2,54,26,0,1,1,1,1,5
3,2,54,26,0,2,1,1,1,46
3,2,54,26,1,3,1,1,1,40
3,2,54,26,1,2,6,1,1,44
3,2,54,26,0,3,1,1,1,22
3,2,54,26,0,2,1,1,1,36
3,2,54,26,1,3,5,1,1,14
3,2,54,26,1,1,1,1,1,4
3,2,54,26,1,1,9,1,1,8
3,2,54,26,0,1,1,1,1,5
3,2,54,26,1,3,11,1,1,38
3,2,54,26,0,3,1,1,1,30
3,2,54,26,0,2,1,1,1,45
3,2,54,26,0,3,1,1,1,8
3,2,54,26,1,2,1,1,1,38
3,2,54,26,0,2,1,1,1,48
3,2,54,26,1,2,1,1,1,41
3,2,54,26,1,2,11,1,1,54
3,2,54,26,1,3,11,1,1,31
3,2,54,26,1,3,1,1,1,39
3,2,54,26,0,1,1,1,1,5
3,2,54,26,0,3,1,1,1,28
3,2,54,26,0,3,5,1,1,2
3,2,54,26,0,2,1,1,1,47
3,2,54,26,0,3,1,1,1,6
3,2,54,26,0,2,1,1,1,49
3,2,54,26,1,3,1,1,1,20
1,3,24,21,0,2,1,2,2,20
1,3,24,21,0,3,1,2,2,12
1,3,24,21,0,1,1,2,2,16
1,3,24,21,0,3,5,2,2,10
1,3,24,21,0,3,1,2,2,9
1,3,24,21,0,3,1,2,2,19
1,3,24,21,0,3,2,2,2,19
1,3,24,21,0,3,5,2,2,18
1,3,24,21,0,3,1,2,2,10
1,3,24,21,0,3,1,2,2,22
1,3,24,21,0,2,1,2,2,52
1,3,24,21,0,1,2,2,2,1
1,3,24,21,0,2,2,2,2,9
1,3,24,21,0,1,5,2,2,1
1,3,24,21,0,3,1,2,2,13
1,3,24,21,0,1,5,2,2,9
1,3,24,21,0,3,1,2,2,12
1,3,24,21,0,3,1,2,2,24
1,3,24,21,0,2,7,2,2,25
1,3,24,21,0,3,5,2,2,6
1,3,24,21,0,3,1,2,2,23
1,3,24,21,0,3,2,2,2,9
1,3,24,21,0,3,1,2,2,4
1,3,24,21,0,2,1,2,2,32
1,3,24,21,0,2,1,2,2,27
1,3,24,21,0,1,1,2,2,12
1,3,24,21,0,2,1,2,2,31
1,3,24,21,0,3,5,2,2,3
1,3,24,21,0,3,3,2,2,15
1,3,24,21,0,3,5,2,2,28
1,3,24,21,0,3,5,2,2,18
1,3,24,21,0,2,1,2,2,20
1,3,24,21,0,1,1,2,2,6
2,3,37,19,0,1,5,2,2,11
2,3,37,19,0,2,6,2,2,39
2,3,37,19,0,1,5,2,2,10
2,3,37,19,0,3,1,2,2,22
2,3,37,19,0,3,5,2,2,8
2,3,37,19,0,3,9,2,2,32
2,3,37,19,0,3,5,2,2,20
2,3,37,19,0,3,1,2,2,21
2,3,37,19,0,1,5,2,2,18
2,3,37,19,0,3,1,2,2,23
2,3,37,19,0,1,1,2,2,13
2,3,37,19,0,1,5,2,2,4
2,3,37,19,0,3,1,2,2,25
2,3,37,19,0,3,5,2,2,17
2,3,37,19,0,3,5,2,2,11
2,3,37,19,0,1,5,2,2,4
2,3,37,19,0,3,1,2,2,29
2,3,37,19,0,2,1,2,2,30
2,3,37,19,0,3,5,2,2,8
2,3,37,19,0,3,5,2,2,30
2,3,37,19,0,3,5,2,2,3
2,3,37,19,0,2,6,2,2,34
2,3,37,19,0,3,1,2,2,23
2,3,37,19,0,3,1,2,2,17
2,3,37,19,0,2,1,2,2,26
2,3,37,19,0,2,1,2,2,29
2,3,37,19,0,3,5,2,2,13
2,3,37,19,0,3,5,2,2,8
2,3,37,19,0,3,1,2,2,26
3,3,37,20,0,2,8,2,2,43
3,3,37,20,0,1,5,2,2,7
3,3,37,20,0,3,5,2,2,22
3,3,37,20,0,2,1,2,2,22
3,3,37,20,0,2,1,2,2,6
3,3,37,20,0,3,1,2,2,32
3,3,37,20,0,1,5,2,2,3
3,3,37,20,0,2,8,2,2,38
3,3,37,20,0,3,1,2,2,15
3,3,37,20,0,2,1,2,2,35
3,3,37,20,0,2,5,2,2,20
3,3,37,20,0,3,1,2,2,20
3,3,37,20,0,3,5,2,2,4
3,3,37,20,0,3,5,2,2,20
3,3,37,20,0,3,1,2,2,5
3,3,37,20,0,2,2,2,2,39
3,3,37,20,0,3,5,2,2,25
3,3,37,20,0,1,5,2,2,3
3,3,37,20,0,2,1,2,2,25
3,3,37,20,0,3,5,2,2,14
3,3,37,20,0,2,5,2,2,13
3,3,37,20,0,3,5,2,2,15
3,3,37,20,0,3,5,2,2,10
3,3,37,20,0,3,1,2,2,10
3,3,37,20,0,1,1,2,2,16
3,3,37,20,0,3,5,2,2,16
3,3,37,20,0,2,1,2,2,12
3,3,37,20,0,3,5,2,2,10
3,3,37,20,0,3,5,2,2,46
3,3,37,20,0,3,5,2,2,30
3,3,37,20,0,3,8,2,2,32
3,3,37,20,0,3,5,2,2,15
3,3,37,20,0,3,5,2,2,25
1,4,20,22,0,3,1,1,2,28
1,4,20,22,1,3,1,1,2,33
1,4,20,22,0,3,1,1,2,20
1,4,20,22,0,3,5,1,2,31
1,4,20,22,1,2,1,1,2,38
1,4,20,22,1,2,1,1,2,41
1,4,20,22,0,2,1,1,2,21
1,4,20,22,1,2,1,1,2,32
1,4,20,22,1,3,1,1,2,27
1,4,20,22,0,2,1,1,2,34
1,4,20,22,1,3,1,1,2,12
1,4,20,22,0,1,1,1,2,2
1,4,20,22,0,1,1,1,2,3
1,4,20,22,0,1,1,1,2,16
1,4,20,22,0,1,1,1,2,14
1,4,20,22,1,3,5,1,2,28
1,4,20,22,0,3,1,1,2,9
1,4,20,22,1,1,1,1,2,2
1,4,20,22,0,1,1,1,2,2
1,4,20,22,0,3,1,1,2,16
1,4,20,22,1,3,1,1,2,18
1,4,20,22,1,1,1,1,2,13
1,4,20,22,1,2,1,1,2,54
1,4,20,22,0,3,1,1,2,16
1,4,20,22,0,2,1,1,2,50
1,4,20,22,0,1,1,1,2,24
1,4,20,22,1,3,1,1,2,14
1,4,20,22,1,2,1,1,2,31
1,4,20,22,1,1,1,1,2,3
1,4,20,22,1,2,1,1,2,33
1,4,20,22,1,2,1,1,2,37
1,4,20,22,1,1,1,1,2,3
1,4,20,22,1,3,1,1,2,17
1,4,20,22,1,2,1,1,2,28
1,4,20,22,0,2,1,1,2,29
1,4,20,22,1,1,1,1,2,11
1,4,20,22,0,2,1,1,2,20
1,4,20,22,0,1,1,1,2,8
1,4,20,22,0,3,1,1,2,20
1,4,20,22,1,3,1,1,2,12
1,4,20,22,1,3,1,1,2,36
1,4,20,22,0,2,1,1,2,10
1,4,20,22,0,3,10,1,2,32
1,4,20,22,1,3,1,1,2,14
1,4,20,22,1,1,1,1,2,26
1,4,20,22,1,2,1,1,2,50
1,4,20,22,0,3,1,1,2,21
1,4,20,22,1,1,1,1,2,4
1,4,20,22,0,1,1,1,2,2
1,4,20,22,1,3,1,1,2,22
1,4,20,22,1,3,1,1,2,24
1,4,20,22,1,2,1,1,2,41
1,4,20,22,0,3,1,1,2,20
1,4,20,22,1,2,1,1,2,24
1,4,20,22,1,1,2,1,2,11
1,4,20,22,0,2,1,1,2,27
1,4,20,22,0,3,1,1,2,21
1,4,20,22,0,2,1,1,2,36
1,4,20,22,0,2,1,1,2,26
1,4,20,22,0,3,1,1,2,21
1,4,20,22,0,3,1,1,2,19
1,4,20,22,0,2,1,1,2,23
1,4,20,22,0,1,1,1,2,15
1,4,20,22,0,2,1,1,2,39
1,4,20,22,0,1,1,1,2,3
1,4,20,22,1,1,1,1,2,8
1,4,20,22,0,3,10,1,2,20
1,4,20,22,0,1,1,1,2,5
1,4,20,22,1,2,1,1,2,52
1,4,20,22,0,3,1,1,2,20
2,4,29,23,0,3,1,1,2,8
2,4,29,23,0,3,1,1,2,22
2,4,29,23,1,3,1,1,2,21
2,4,29,23,1,3,1,1,2,24
2,4,29,23,1,2,1,1,2,23
2,4,29,23,0,3,1,1,2,12
2,4,29,23,0,2,1,1,2,16
2,4,29,23,0,2,1,1,2,35
2,4,29,23,1,1,1,1,2,11
2,4,29,23,0,3,1,1,2,15
2,4,29,23,1,1,1,1,2,12
2,4,29,23,0,1,1,1,2,6
2,4,29,23,0,3,1,1,2,4
2,4,29,23,1,1,1,1,2,22
2,4,29,23,0,3,1,1,2,28
2,4,29,23,1,3,1,1,2,36
2,4,29,23,1,3,5,1,2,11
2,4,29,23,0,2,1,1,2,25
2,4,29,23,0,3,1,1,2,16
2,4,29,23,1,2,1,1,2,36
2,4,29,23,0,3,1,1,2,8
2,4,29,23,1,3,1,1,2,23
2,4,29,23,1,2,1,1,2,31
2,4,29,23,1,3,1,1,2,10
2,4,29,23,1,1,1,1,2,2
2,4,29,23,1,3,1,1,2,23
2,4,29,23,1,3,1,1,2,27
2,4,29,23,1,3,1,1,2,20
2,4,29,23,1,3,1,1,2,7
2,4,29,23,0,2,1,1,2,17
2,4,29,23,0,3,1,1,2,9
2,4,29,23,0,1,1,1,2,5
2,4,29,23,1,3,1,1,2,15
2,4,29,23,0,3,1,1,2,26
2,4,29,23,1,3,1,1,2,15
2,4,29,23,0,2,1,1,2,28
2,4,29,23,0,3,1,1,2,17
2,4,29,23,0,1,1,1,2,7
2,4,29,23,1,3,11,1,2,27
2,4,29,23,1,2,1,1,2,44
2,4,29,23,1,3,1,1,2,19
2,4,29,23,0,3,1,1,2,28
2,4,29,23,1,1,1,1,2,1
2,4,29,23,1,3,1,1,2,19
2,4,29,23,1,3,1,1,2,33
2,4,29,23,1,3,5,1,2,27
2,4,29,23,1,3,1,1,2,24
2,4,29,23,1,3,1,1,2,35
2,4,29,23,0,3,6,1,2,34
2,4,29,23,1,1,1,1,2,6
2,4,29,23,0,3,5,1,2,14
2,4,29,23,1,3,1,1,2,13
2,4,29,23,1,3,1,1,2,24
2,4,29,23,1,2,1,1,2,31
2,4,29,23,1,3,1,1,2,33
2,4,29,23,1,2,1,1,2,35
2,4,29,23,1,1,1,1,2,2
2,4,29,23,0,3,1,1,2,14
2,4,29,23,0,3,1,1,2,18
2,4,29,23,1,1,5,1,2,10
2,4,29,23,1,3,5,1,2,22
2,4,29,23,1,2,1,1,2,28
2,4,29,23,1,1,1,1,2,3
2,4,29,23,0,3,1,1,2,41
2,4,29,23,0,3,1,1,2,24
2,4,29,23,0,3,1,1,2,18
3,4,29,19,0,3,1,1,2,18
3,4,29,19,0,3,1,1,2,6
3,4,29,19,0,2,1,1,2,37
3,4,29,19,0,1,1,1,2,15
3,4,29,19,1,3,1,1,2,24
3,4,29,19,1,1,1,1,2,20
3,4,29,19,1,3,1,1,2,16
3,4,29,19,0,3,1,1,2,22
3,4,29,19,0,3,1,1,2,14
3,4,29,19,1,2,2,1,2,30
3,4,29,19,1,3,1,1,2,28
3,4,29,19,0,1,1,1,2,1
3,4,29,19,1,3,1,1,2,16
3,4,29,19,0,3,1,1,2,28
3,4,29,19,1,3,1,1,2,38
3,4,29,19,0,3,1,1,2,8
3,4,29,19,1,1,1,1,2,17
3,4,29,19,1,1,1,1,2,17
3,4,29,19,1,3,1,1,2,19
3,4,29,19,1,3,1,1,2,21
3,4,29,19,1,1,1,1,2,6
3,4,29,19,1,3,1,1,2,2
3,4,29,19,0,3,1,1,2,21
3,4,29,19,0,1,1,1,2,4
3,4,29,19,0,1,1,1,2,9
3,4,29,19,0,1,1,1,2,2
3,4,29,19,0,3,1,1,2,10
3,4,29,19,1,3,1,1,2,26
3,4,29,19,1,3,1,1,2,20
3,4,29,19,1,3,1,1,2,18
3,4,29,19,0,3,1,1,2,10
3,4,29,19,0,3,1,1,2,17
3,4,29,19,0,2,1,1,2,41
3,4,29,19,0,3,1,1,2,19
3,4,29,19,1,3,5,1,2,30
3,4,29,19,0,3,1,1,2,12
3,4,29,19,0,2,1,1,2,12
3,4,29,19,1,3,1,1,2,10
3,4,29,19,0,1,1,1,2,7
3,4,29,19,0,2,1,1,2,32
3,4,29,19,0,3,1,1,2,22
3,4,29,19,0,2,11,1,2,25
3,4,29,19,1,2,1,1,2,27
3,4,29,19,0,3,1,1,2,16
3,4,29,19,0,3,1,1,2,21
3,4,29,19,1,3,5,1,2,10
3,4,29,19,1,2,1,1,2,25
3,4,29,19,1,3,1,1,2,23
3,4,29,19,1,3,1,1,2,20
3,4,29,19,1,3,1,1,2,10
3,4,29,19,1,1,1,1,2,10
3,4,29,19,0,1,1,1,2,5
3,4,29,19,1,2,1,1,2,42
3,4,29,19,0,3,1,1,2,17
3,4,29,19,0,1,1,1,2,6
3,4,29,19,1,1,1,1,2,7
3,4,29,19,0,3,1,1,2,7
3,4,29,19,0,3,1,1,2,10
3,4,29,19,1,3,1,1,2,34
3,4,29,19,0,3,1,1,2,10
3,4,29,19,0,1,1,1,2,11
3,4,29,19,0,2,1,1,2,2
3,4,29,19,1,2,1,1,2,17
3,4,29,19,0,3,1,1,2,28
3,4,29,19,1,3,1,1,2,17
3,4,29,19,0,2,1,1,2,22
3,4,29,19,1,1,1,1,2,19
3,4,29,19,0,1,1,1,2,3
3,4,29,19,0,3,1,1,2,21
3,4,29,19,1,3,1,1,2,37
3,4,29,19,1,2,1,1,2,27
3,4,29,19,1,3,1,1,2,22
3,4,29,19,0,2,1,1,2,28
3,4,29,19,0,3,1,1,2,5
3,4,29,19,0,2,1,1,2,19
3,4,29,19,0,3,1,1,2,8
1,5,31,24,1,3,5,1,1,31
1,5,31,24,0,2,5,1,1,25
1,5,31,24,0,2,2,1,1,10
1,5,31,24,1,2,1,1,1,44
1,5,31,24,0,3,1,1,1,4
1,5,31,24,0,3,1,1,1,12
1,5,31,24,1,2,7,1,1,48
1,5,31,24,1,1,1,1,1,12
1,5,31,24,0,3,1,1,1,14
1,5,31,24,0,1,8,1,1,1
1,5,31,24,1,3,11,1,1,35
1,5,31,24,0,1,1,1,1,5
1,5,31,24,0,2,11,1,1,12
1,5,31,24,0,3,1,1,1,12
1,5,31,24,0,2,1,1,1,27
1,5,31,24,0,3,7,1,1,21
1,5,31,24,0,2,1,1,1,48
1,5,31,24,0,1,5,1,1,14
1,5,31,24,1,3,5,1,1,11
1,5,31,24,0,1,7,1,1,12
1,5,31,24,0,3,1,1,1,3
1,5,31,24,0,3,11,1,1,21
1,5,31,24,0,1,5,1,1,4
1,5,31,24,1,2,5,1,1,17
1,5,31,24,1,1,1,1,1,9
1,5,31,24,1,3,5,1,1,24
1,5,31,24,0,1,5,1,1,8
1,5,31,24,1,3,1,1,1,12
1,5,31,24,0,3,1,1,1,5
1,5,31,24,0,2,1,1,1,21
1,5,31,24,0,1,5,1,1,9
1,5,31,24,1,2,11,1,1,25
1,5,31,24,1,3,1,1,1,24
1,5,31,24,1,2,1,1,1,31
1,5,31,24,1,2,11,1,1,36
1,5,31,24,0,1,5,1,1,1
1,5,31,24,0,2,1,1,1,40
1,5,31,24,1,3,5,1,1,22
1,5,31,24,1,2,1,1,1,28
1,5,31,24,0,2,1,1,1,9
1,6,37,14,1,1,5,1,1,2
1,6,37,14,0,3,1,1,1,13
1,6,37,14,1,1,5,1,1,5
1,6,37,14,0,3,2,1,1,11
1,6,37,14,0,2,1,1,1,19
1,6,37,14,0,2,1,1,1,17
1,6,37,14,0,3,1,1,1,11
1,6,37,14,0,3,5,1,1,16
1,6,37,14,1,1,1,1,1,16
1,6,37,14,0,3,1,1,1,10
1,6,37,14,1,2,1,1,1,9
1,6,37,14,1,3,1,1,1,24
1,6,37,14,0,2,5,1,1,24
1,6,37,14,1,3,1,1,1,1
1,6,37,14,1,3,5,1,1,8
1,6,37,14,1,3,1,1,1,19
1,6,37,14,1,2,1,1,1,32
1,6,37,14,1,1,1,1,1,11
1,6,37,14,1,3,1,1,1,9
1,6,37,14,0,3,1,1,1,22
1,6,37,14,1,3,5,1,1,16
1,6,37,14,0,1,5,1,1,4
1,6,37,14,0,3,9,1,1,40
1,6,37,14,1,3,1,1,1,16
1,6,37,14,1,1,1,1,1,9
1,6,37,14,1,3,1,1,1,12
1,6,37,14,1,1,5,1,1,4
1,6,37,14,0,3,1,1,1,10
1,6,37,14,1,3,5,1,1,10
1,6,37,14,0,3,11,1,1,24
1,6,37,14,0,1,5,1,1,9
1,6,37,14,0,3,5,1,1,15
1,6,37,14,1,3,1,1,1,16
1,6,37,14,1,3,1,1,1,21
1,6,37,14,0,3,5,1,1,17
1,6,37,14,1,2,1,1,1,24
1,6,37,14,1,3,5,1,1,17
1,6,37,14,0,2,1,1,1,29
1,6,37,14,0,3,1,1,1,8
1,6,37,14,0,2,5,1,1,31
1,6,37,14,1,3,1,1,1,39
1,6,37,14,0,2,1,1,1,5
1,6,37,14,1,2,11,1,1,16
1,6,37,14,0,2,1,1,1,23
1,6,37,14,1,3,11,1,1,15
1,6,37,14,0,2,5,1,1,18
1,6,37,14,0,3,7,1,1,24
1,6,37,14,1,1,5,1,1,20
1,6,37,14,1,3,1,1,1,15
1,6,37,14,0,3,1,1,1,12
1,6,37,14,0,1,5,1,1,4
1,6,37,14,0,3,1,1,1,29
1,6,37,14,1,3,11,1,1,21
1,6,37,14,1,3,1,1,1,21
1,6,37,14,0,3,1,1,1,4
1,6,37,14,0,1,5,1,1,6
