Linkage,Affinity,Number_of_Clusters,TASK_Group
average,manhattan,13,"{'0': [52, 90], '1': [86], '2': [18, 28, 61, 67, 91], '3': [85], '4': [84], '5': [2, 5, 6, 9, 10, 12, 20, 22, 24, 25, 27, 30, 55, 57, 59, 87, 89, 92], '6': [70], '7': [83], '8': [80], '9': [78], '10': [46], '11': [76], '12': [81]}"
average,manhattan,14,"{'0': [18, 28, 61, 67, 91], '1': [86], '2': [2, 5, 6, 9, 10, 12, 20, 22, 24, 25, 27, 30, 55, 57, 59, 87, 89, 92], '3': [85], '4': [84], '5': [90], '6': [70], '7': [83], '8': [80], '9': [78], '10': [46], '11': [76], '12': [81], '13': [52]}"
average,manhattan,15,"{'0': [2, 5, 6, 9, 10, 12, 20, 22, 24, 25, 27, 30, 55, 57, 59, 87, 89, 92], '1': [86], '2': [18, 28, 61], '3': [85], '4': [84], '5': [90], '6': [67, 91], '7': [83], '8': [80], '9': [78], '10': [46], '11': [76], '12': [81], '13': [52], '14': [70]}"
average,cosine,2,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 76, 78, 80, 83, 84, 85, 86, 87, 89, 90, 91, 92], '1': [81]}"
average,cosine,3,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 76, 78, 80, 84, 85, 86, 87, 89, 90, 91, 92], '1': [81], '2': [83]}"
average,cosine,4,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 76, 78, 80, 85, 86, 87, 89, 90, 91, 92], '1': [84], '2': [83], '3': [81]}"
average,cosine,5,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 80, 85, 86, 87, 89, 90, 91, 92], '1': [84], '2': [83], '3': [81], '4': [76]}"
average,cosine,6,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 85, 86, 87, 89, 90, 91, 92], '1': [84], '2': [83], '3': [81], '4': [76], '5': [80]}"
average,cosine,7,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 86, 87, 89, 90, 91, 92], '1': [84], '2': [85], '3': [81], '4': [76], '5': [80], '6': [83]}"
average,cosine,8,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 78, 86, 87, 89, 90, 91, 92], '1': [84], '2': [85], '3': [81], '4': [76], '5': [80], '6': [83], '7': [70]}"
average,cosine,9,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 78, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [76], '5': [80], '6': [83], '7': [70], '8': [81]}"
average,cosine,10,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [78], '5': [80], '6': [83], '7': [70], '8': [81], '9': [76]}"
average,cosine,11,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [78], '5': [80], '6': [83], '7': [70], '8': [81], '9': [76], '10': [46]}"
average,cosine,12,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [78], '5': [80], '6': [83], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52]}"
average,cosine,13,"{'0': [2, 5, 6, 9, 10, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 91, 92], '1': [86], '2': [12, 89, 90], '3': [84], '4': [78], '5': [85], '6': [83], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52], '12': [80]}"
average,cosine,14,"{'0': [12, 89, 90], '1': [86], '2': [2, 6, 9, 10, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 91, 92], '3': [84], '4': [78], '5': [85], '6': [83], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52], '12': [80], '13': [5]}"
average,cosine,15,"{'0': [2, 6, 9, 10, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 91, 92], '1': [86], '2': [89, 90], '3': [84], '4': [78], '5': [85], '6': [83], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52], '12': [80], '13': [5], '14': [12]}"
average,precomputed,2,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 76, 78, 80, 83, 84, 85, 86, 87, 89, 90, 91, 92], '1': [81]}"
average,precomputed,3,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 76, 78, 80, 84, 85, 86, 87, 89, 90, 91, 92], '1': [81], '2': [83]}"
average,precomputed,4,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 76, 78, 80, 85, 86, 87, 89, 90, 91, 92], '1': [84], '2': [83], '3': [81]}"
average,precomputed,5,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 80, 85, 86, 87, 89, 90, 91, 92], '1': [84], '2': [83], '3': [81], '4': [76]}"
average,precomputed,6,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 85, 86, 87, 89, 90, 91, 92], '1': [84], '2': [83], '3': [81], '4': [76], '5': [80]}"
average,precomputed,7,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 86, 87, 89, 90, 91, 92], '1': [84], '2': [85], '3': [81], '4': [76], '5': [80], '6': [83]}"
average,precomputed,8,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 78, 86, 87, 89, 90, 91, 92], '1': [84], '2': [85], '3': [81], '4': [76], '5': [80], '6': [83], '7': [70]}"
average,precomputed,9,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 78, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [76], '5': [80], '6': [83], '7': [70], '8': [81]}"
average,precomputed,10,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [78], '5': [80], '6': [83], '7': [70], '8': [81], '9': [76]}"
average,precomputed,11,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [78], '5': [80], '6': [83], '7': [70], '8': [81], '9': [76], '10': [46]}"
average,precomputed,12,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [78], '5': [80], '6': [83], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52]}"
average,precomputed,13,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '1': [86], '2': [90], '3': [84], '4': [78], '5': [85], '6': [83], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52], '12': [80]}"
average,precomputed,14,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 30, 55, 57, 61, 67, 87, 89, 91, 92], '1': [86], '2': [28, 59], '3': [84], '4': [78], '5': [85], '6': [90], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52], '12': [80], '13': [83]}"
average,precomputed,15,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 57, 61, 67, 87, 89, 91, 92], '1': [86], '2': [28, 59], '3': [84], '4': [78], '5': [85], '6': [90], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52], '12': [80], '13': [83], '14': [22]}"
complete,euclidean,2,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 76, 78, 80, 83, 84, 85, 86, 87, 89, 90, 91, 92], '1': [81]}"
complete,euclidean,3,"{'0': [76, 80, 83, 84, 85], '1': [81], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 86, 87, 89, 90, 91, 92]}"
complete,euclidean,4,"{'0': [76, 80, 84, 85], '1': [83], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 86, 87, 89, 90, 91, 92], '3': [81]}"
complete,euclidean,5,"{'0': [76, 80, 85], '1': [84], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 86, 87, 89, 90, 91, 92], '3': [81], '4': [83]}"
complete,euclidean,6,"{'0': [80, 85], '1': [84], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 86, 87, 89, 90, 91, 92], '3': [81], '4': [83], '5': [76]}"
complete,euclidean,7,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 86, 87, 89, 90, 91, 92], '1': [84], '2': [85], '3': [81], '4': [83], '5': [76], '6': [80]}"
complete,euclidean,8,"{'0': [70, 86], '1': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 78, 87, 89, 90, 91, 92], '2': [85], '3': [84], '4': [83], '5': [76], '6': [80], '7': [81]}"
complete,euclidean,9,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 78, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [83], '5': [76], '6': [80], '7': [81], '8': [70]}"
complete,euclidean,10,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [83], '5': [76], '6': [80], '7': [81], '8': [70], '9': [78]}"
complete,euclidean,11,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [83], '5': [76], '6': [80], '7': [81], '8': [70], '9': [78], '10': [46]}"
complete,euclidean,12,"{'0': [2, 5, 12, 18, 52, 87, 89, 90, 91], '1': [86], '2': [6, 9, 10, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 92], '3': [84], '4': [83], '5': [85], '6': [80], '7': [81], '8': [70], '9': [78], '10': [46], '11': [76]}"
complete,euclidean,13,"{'0': [2, 5, 12, 18, 87, 89, 90, 91], '1': [86], '2': [6, 9, 10, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 92], '3': [84], '4': [83], '5': [85], '6': [80], '7': [81], '8': [70], '9': [78], '10': [46], '11': [76], '12': [52]}"
complete,euclidean,14,"{'0': [6, 9, 10, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 92], '1': [86], '2': [2, 5, 12, 18, 87, 89, 91], '3': [84], '4': [83], '5': [85], '6': [90], '7': [81], '8': [70], '9': [78], '10': [46], '11': [76], '12': [52], '13': [80]}"
complete,euclidean,15,"{'0': [6, 9, 10, 20, 22, 24, 25, 27, 28, 30, 55, 59, 92], '1': [86], '2': [2, 5, 12, 18, 87, 89, 91], '3': [84], '4': [83], '5': [85], '6': [57, 61, 67], '7': [81], '8': [70], '9': [78], '10': [46], '11': [76], '12': [52], '13': [80], '14': [90]}"
complete,manhattan,2,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 86, 87, 89, 90, 91, 92], '1': [76, 80, 81, 83, 84, 85]}"
complete,manhattan,3,"{'0': [76, 80, 81, 83, 84, 85], '1': [70, 78, 86], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92]}"
complete,manhattan,4,"{'0': [76, 80, 83, 84, 85], '1': [70, 78, 86], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '3': [81]}"
complete,manhattan,5,"{'0': [70, 78, 86], '1': [76, 80, 85], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '3': [81], '4': [83, 84]}"
complete,manhattan,6,"{'0': [76, 80, 85], '1': [83, 84], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '3': [81], '4': [78, 86], '5': [70]}"
complete,manhattan,7,"{'0': [83, 84], '1': [80, 85], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '3': [81], '4': [78, 86], '5': [70], '6': [76]}"
complete,manhattan,8,"{'0': [80, 85], '1': [78, 86], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '3': [83], '4': [84], '5': [70], '6': [76], '7': [81]}"
complete,manhattan,9,"{'0': [78, 86], '1': [85], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '3': [83], '4': [84], '5': [70], '6': [76], '7': [81], '8': [80]}"
complete,manhattan,10,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [85], '2': [86], '3': [83], '4': [84], '5': [70], '6': [76], '7': [81], '8': [80], '9': [78]}"
complete,manhattan,11,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [85], '2': [86], '3': [83], '4': [84], '5': [70], '6': [76], '7': [81], '8': [80], '9': [78], '10': [46]}"
complete,manhattan,12,"{'0': [18, 28, 52, 61, 67, 90, 91], '1': [85], '2': [2, 5, 6, 9, 10, 12, 20, 22, 24, 25, 27, 30, 55, 57, 59, 87, 89, 92], '3': [83], '4': [84], '5': [86], '6': [76], '7': [81], '8': [80], '9': [78], '10': [46], '11': [70]}"
complete,manhattan,13,"{'0': [2, 5, 6, 9, 10, 12, 20, 22, 24, 25, 27, 30, 55, 57, 59, 87, 89, 92], '1': [85], '2': [52, 90], '3': [83], '4': [84], '5': [18, 28, 61, 67, 91], '6': [76], '7': [81], '8': [80], '9': [78], '10': [46], '11': [70], '12': [86]}"
complete,manhattan,14,"{'0': [52, 90], '1': [85], '2': [18, 28, 61, 67, 91], '3': [83], '4': [84], '5': [22, 25, 30, 55, 57, 59, 87], '6': [2, 5, 6, 9, 10, 12, 20, 24, 27, 89, 92], '7': [81], '8': [80], '9': [78], '10': [46], '11': [70], '12': [86], '13': [76]}"
complete,manhattan,15,"{'0': [18, 28, 61, 67, 91], '1': [85], '2': [22, 25, 30, 55, 57, 59, 87], '3': [83], '4': [84], '5': [90], '6': [2, 5, 6, 9, 10, 12, 20, 24, 27, 89, 92], '7': [81], '8': [80], '9': [78], '10': [46], '11': [70], '12': [86], '13': [76], '14': [52]}"
complete,cosine,2,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 76, 78, 80, 83, 84, 85, 86, 87, 89, 90, 91, 92], '1': [81]}"
complete,cosine,3,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 80, 83, 84, 85, 86, 87, 89, 90, 91, 92], '1': [81], '2': [76]}"
complete,cosine,4,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 80, 83, 85, 86, 87, 89, 90, 91, 92], '1': [84], '2': [76], '3': [81]}"
complete,cosine,5,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 80, 85, 86, 87, 89, 90, 91, 92], '1': [84], '2': [76], '3': [81], '4': [83]}"
complete,cosine,6,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 80, 86, 87, 89, 90, 91, 92], '1': [84], '2': [85], '3': [81], '4': [83], '5': [76]}"
complete,cosine,7,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 86, 87, 89, 90, 91, 92], '1': [84], '2': [85], '3': [81], '4': [83], '5': [76], '6': [80]}"
complete,cosine,8,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 78, 86, 87, 89, 90, 91, 92], '1': [84], '2': [85], '3': [81], '4': [83], '5': [76], '6': [80], '7': [70]}"
complete,cosine,9,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 78, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [83], '5': [76], '6': [80], '7': [70], '8': [81]}"
complete,cosine,10,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [83], '5': [76], '6': [80], '7': [70], '8': [81], '9': [78]}"
complete,cosine,11,"{'0': [10, 12, 20, 27, 46, 67, 87, 89, 90, 92], '1': [2, 5, 6, 9, 18, 22, 24, 25, 28, 30, 52, 55, 57, 59, 61, 91], '2': [85], '3': [84], '4': [86], '5': [76], '6': [80], '7': [70], '8': [81], '9': [78], '10': [83]}"
complete,cosine,12,"{'0': [2, 5, 6, 9, 18, 22, 24, 25, 28, 30, 52, 55, 57, 59, 61, 91], '1': [46, 90], '2': [10, 12, 20, 27, 67, 87, 89, 92], '3': [84], '4': [86], '5': [85], '6': [80], '7': [70], '8': [81], '9': [78], '10': [83], '11': [76]}"
complete,cosine,13,"{'0': [2, 5, 6, 18, 22, 25, 28, 30, 55, 57, 59, 61, 91], '1': [46, 90], '2': [9, 24, 52], '3': [84], '4': [86], '5': [10, 12, 20, 27, 67, 87, 89, 92], '6': [80], '7': [70], '8': [81], '9': [78], '10': [83], '11': [76], '12': [85]}"
