Linkage,Affinity,Number_of_Clusters,TASK_Group
average,euclidean,14,"{'0': [83, 20, 5, 46, 12, 67, 90, 89, 57, 6, 59, 70, 92, 10], '1': [84, 87], '2': [25, 9], '3': [86], '4': [30, 22, 28, 24, 18], '5': [85, 27], '6': [52, 2], '7': [80], '8': [76], '9': [78], '10': [91], '11': [81], '12': [61], '13': [55]}"
average,euclidean,15,"{'0': [84, 87], '1': [30, 22, 28, 24, 18], '2': [25, 9], '3': [86], '4': [83, 20, 5, 46, 12, 67, 90, 89, 57, 6, 70, 92, 10], '5': [85, 27], '6': [52, 2], '7': [80], '8': [76], '9': [78], '10': [91], '11': [81], '12': [61], '13': [55], '14': [59]}"
average,euclidean,16,"{'0': [30, 22, 28, 24, 18], '1': [83, 20, 5, 46, 12, 67, 90, 89, 57, 6, 70, 92, 10], '2': [25, 9], '3': [84], '4': [91], '5': [85, 27], '6': [52, 2], '7': [86], '8': [76], '9': [78], '10': [87], '11': [81], '12': [61], '13': [55], '14': [59], '15': [80]}"
average,euclidean,17,"{'0': [25, 9], '1': [83, 20, 5, 46, 12, 67, 90, 89, 57, 6, 70, 92, 10], '2': [52, 2], '3': [30], '4': [91], '5': [85, 27], '6': [22, 28, 24, 18], '7': [84], '8': [76], '9': [78], '10': [87], '11': [81], '12': [61], '13': [55], '14': [59], '15': [80], '16': [86]}"
average,euclidean,18,"{'0': [83, 20, 5, 46, 12, 67, 90, 89, 57, 6, 70, 92, 10], '1': [9], '2': [52, 2], '3': [30], '4': [91], '5': [85, 27], '6': [22, 28, 24, 18], '7': [84], '8': [25], '9': [78], '10': [87], '11': [81], '12': [61], '13': [55], '14': [59], '15': [80], '16': [86], '17': [76]}"
average,euclidean,19,"{'0': [52, 2], '1': [20, 67, 90, 57, 6, 70], '2': [22, 28, 24, 18], '3': [9], '4': [91], '5': [85, 27], '6': [83, 5, 46, 12, 89, 92, 10], '7': [84], '8': [30], '9': [78], '10': [87], '11': [81], '12': [61], '13': [55], '14': [59], '15': [80], '16': [86], '17': [76], '18': [25]}"
average,euclidean,20,"{'0': [22, 28, 24, 18], '1': [20, 67, 90, 57, 6, 70], '2': [83, 5, 46, 12, 89, 92, 10], '3': [9], '4': [91], '5': [85, 27], '6': [59], '7': [84], '8': [30], '9': [78], '10': [87], '11': [81], '12': [61], '13': [55], '14': [2], '15': [80], '16': [86], '17': [76], '18': [25], '19': [52]}"
average,manhattan,2,"{'0': [81, 80], '1': [83, 52, 76, 25, 85, 20, 86, 84, 78, 5, 30, 2, 55, 87, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 9, 24, 27, 59, 70, 92, 18, 10]}"
average,manhattan,3,"{'0': [83, 52, 76, 25, 85, 20, 86, 84, 78, 5, 30, 2, 55, 87, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 9, 24, 27, 59, 70, 92, 18, 10], '1': [80], '2': [81]}"
average,manhattan,4,"{'0': [83, 52, 76, 85, 20, 84, 78, 5, 30, 2, 55, 87, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 24, 27, 59, 70, 92, 18, 10], '1': [25, 86, 9], '2': [81], '3': [80]}"
average,manhattan,5,"{'0': [83, 52, 76, 85, 20, 78, 5, 30, 2, 55, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 24, 27, 59, 70, 92, 18, 10], '1': [25, 86, 9], '2': [81], '3': [80], '4': [84, 87]}"
average,manhattan,6,"{'0': [83, 52, 76, 85, 20, 5, 30, 2, 55, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 24, 27, 59, 70, 92, 18, 10], '1': [25, 86, 9], '2': [78], '3': [80], '4': [84, 87], '5': [81]}"
average,manhattan,7,"{'0': [25, 86, 9], '1': [76, 30, 91, 22, 28, 24, 18], '2': [83, 52, 85, 20, 5, 2, 55, 46, 12, 61, 67, 90, 89, 57, 6, 27, 59, 70, 92, 10], '3': [80], '4': [84, 87], '5': [81], '6': [78]}"
average,manhattan,8,"{'0': [76, 30, 91, 22, 28, 24, 18], '1': [84, 87], '2': [83, 52, 85, 20, 5, 2, 55, 46, 12, 61, 67, 90, 89, 57, 6, 27, 59, 70, 92, 10], '3': [86], '4': [25, 9], '5': [81], '6': [78], '7': [80]}"
average,manhattan,9,"{'0': [83, 52, 85, 20, 5, 2, 55, 46, 12, 61, 67, 90, 89, 57, 6, 27, 59, 70, 92, 10], '1': [84, 87], '2': [30, 91, 22, 28, 24, 18], '3': [86], '4': [25, 9], '5': [81], '6': [78], '7': [80], '8': [76]}"
average,manhattan,10,"{'0': [83, 85, 20, 5, 46, 12, 67, 90, 57, 6, 27, 59, 70, 10], '1': [52, 2, 55, 61, 89, 92], '2': [30, 91, 22, 28, 24, 18], '3': [86], '4': [84, 87], '5': [81], '6': [78], '7': [80], '8': [76], '9': [25, 9]}"
average,manhattan,11,"{'0': [30, 91, 22, 28, 24, 18], '1': [52, 2, 55, 61, 89, 92], '2': [83, 20, 5, 46, 12, 67, 90, 57, 6, 27, 59, 70, 10], '3': [86], '4': [84, 87], '5': [81], '6': [78], '7': [80], '8': [76], '9': [25, 9], '10': [85]}"
average,manhattan,12,"{'0': [52, 2, 55, 61, 89, 92], '1': [84, 87], '2': [83, 20, 5, 46, 12, 67, 90, 57, 6, 27, 59, 70, 10], '3': [86], '4': [30, 22, 28, 24, 18], '5': [91], '6': [78], '7': [80], '8': [76], '9': [25, 9], '10': [85], '11': [81]}"
average,manhattan,13,"{'0': [84, 87], '1': [30, 22, 28, 24, 18], '2': [83, 20, 5, 46, 12, 67, 90, 57, 6, 27, 59, 70, 10], '3': [86], '4': [2, 55], '5': [52, 61, 89, 92], '6': [78], '7': [80], '8': [76], '9': [25, 9], '10': [85], '11': [81], '12': [91]}"
average,manhattan,14,"{'0': [83, 20, 5, 46, 12, 67, 90, 57, 6, 27, 59, 70, 10], '1': [30, 22, 28, 24, 18], '2': [52, 61, 89, 92], '3': [86], '4': [2, 55], '5': [91], '6': [78], '7': [80], '8': [76], '9': [25, 9], '10': [85], '11': [81], '12': [87], '13': [84]}"
average,manhattan,15,"{'0': [30, 22, 28, 24, 18], '1': [2, 55], '2': [52, 61, 89, 92], '3': [86], '4': [25, 9], '5': [91], '6': [59], '7': [80], '8': [76], '9': [83, 20, 5, 46, 12, 67, 90, 57, 6, 27, 70, 10], '10': [85], '11': [81], '12': [87], '13': [84], '14': [78]}"
average,manhattan,16,"{'0': [2, 55], '1': [25, 9], '2': [52, 61, 89, 92], '3': [30], '4': [83, 20, 5, 46, 12, 67, 90, 57, 6, 27, 70, 10], '5': [91], '6': [59], '7': [86], '8': [76], '9': [22, 28, 24, 18], '10': [85], '11': [81], '12': [87], '13': [84], '14': [78], '15': [80]}"
average,manhattan,17,"{'0': [25, 9], '1': [83, 20, 5, 46, 12, 67, 90, 57, 6, 27, 70, 10], '2': [52, 61, 89, 92], '3': [2], '4': [22, 28, 24, 18], '5': [91], '6': [59], '7': [30], '8': [76], '9': [55], '10': [85], '11': [81], '12': [87], '13': [84], '14': [78], '15': [80], '16': [86]}"
average,manhattan,18,"{'0': [83, 20, 5, 46, 12, 67, 90, 57, 6, 27, 70, 10], '1': [22, 28, 24, 18], '2': [52, 61, 89, 92], '3': [2], '4': [9], '5': [91], '6': [59], '7': [30], '8': [25], '9': [55], '10': [85], '11': [81], '12': [87], '13': [84], '14': [78], '15': [80], '16': [86], '17': [76]}"
average,manhattan,19,"{'0': [52, 61, 89, 92], '1': [22, 28, 24, 18], '2': [83, 5, 46, 12, 6, 10], '3': [20, 67, 90, 57, 27, 70], '4': [9], '5': [91], '6': [59], '7': [30], '8': [2], '9': [55], '10': [85], '11': [81], '12': [87], '13': [84], '14': [78], '15': [80], '16': [86], '17': [76], '18': [25]}"
average,manhattan,20,"{'0': [83, 5, 46, 12, 6, 10], '1': [22, 28, 24, 18], '2': [52, 89, 92], '3': [20, 67, 90, 57, 27, 70], '4': [9], '5': [91], '6': [59], '7': [30], '8': [2], '9': [61], '10': [85], '11': [81], '12': [87], '13': [84], '14': [78], '15': [80], '16': [86], '17': [76], '18': [25], '19': [55]}"
average,cosine,2,"{'0': [83, 52, 81, 80, 85, 20, 84, 5, 2, 55, 87, 46, 12, 61, 67, 90, 89, 57, 6, 27, 59, 70, 92, 10], '1': [76, 25, 86, 78, 30, 91, 22, 28, 9, 24, 18]}"
average,cosine,3,"{'0': [83, 81, 80, 85, 20, 84, 5, 87, 46, 12, 67, 90, 57, 6, 27, 59, 70, 10], '1': [76, 25, 86, 78, 30, 91, 22, 28, 9, 24, 18], '2': [52, 2, 55, 61, 89, 92]}"
average,cosine,4,"{'0': [83, 85, 84, 87, 46, 27], '1': [76, 25, 86, 78, 30, 91, 22, 28, 9, 24, 18], '2': [52, 2, 55, 61, 89, 92], '3': [81, 80, 20, 5, 12, 67, 90, 57, 6, 59, 70, 10]}"
average,cosine,5,"{'0': [76, 25, 86, 78, 30, 91, 22, 28, 9, 24, 18], '1': [83, 84, 87, 46], '2': [52, 2, 55, 61, 89, 92], '3': [81, 80, 20, 5, 12, 67, 90, 57, 6, 59, 70, 10], '4': [85, 27]}"
average,cosine,6,"{'0': [76, 25, 86, 78, 9], '1': [83, 84, 87, 46], '2': [52, 2, 55, 61, 89, 92], '3': [81, 80, 20, 5, 12, 67, 90, 57, 6, 59, 70, 10], '4': [85, 27], '5': [30, 91, 22, 28, 24, 18]}"
average,cosine,7,"{'0': [83, 84, 87, 46], '1': [81, 80, 20, 5, 12, 67, 90, 57, 6, 59, 70, 10], '2': [52, 2, 55, 61, 89, 92], '3': [76, 78], '4': [85, 27], '5': [30, 91, 22, 28, 24, 18], '6': [25, 86, 9]}"
average,cosine,8,"{'0': [52, 2, 55, 61, 89, 92], '1': [81, 80, 20, 5, 12, 67, 90, 57, 6, 59, 70, 10], '2': [30, 91, 22, 28, 24, 18], '3': [76, 78], '4': [85, 27], '5': [83, 46], '6': [25, 86, 9], '7': [84, 87]}"
average,cosine,9,"{'0': [81, 80, 20, 5, 12, 67, 90, 57, 6, 59, 70, 10], '1': [2, 55], '2': [30, 91, 22, 28, 24, 18], '3': [76, 78], '4': [85, 27], '5': [83, 46], '6': [25, 86, 9], '7': [84, 87], '8': [52, 61, 89, 92]}"
average,cosine,10,"{'0': [30, 91, 22, 28, 24, 18], '1': [2, 55], '2': [81, 80, 20, 5, 67, 90, 57, 6, 59, 70], '3': [76, 78], '4': [12, 10], '5': [83, 46], '6': [25, 86, 9], '7': [84, 87], '8': [52, 61, 89, 92], '9': [85, 27]}"
average,cosine,11,"{'0': [2, 55], '1': [76, 78], '2': [81, 80, 20, 5, 67, 90, 57, 6, 59, 70], '3': [30, 91, 22, 28, 24], '4': [12, 10], '5': [83, 46], '6': [25, 86, 9], '7': [84, 87], '8': [52, 61, 89, 92], '9': [85, 27], '10': [18]}"
average,cosine,12,"{'0': [76, 78], '1': [30, 91, 22, 28, 24], '2': [81, 80, 20, 5, 67, 90, 57, 6, 59, 70], '3': [52, 61, 89, 92], '4': [12, 10], '5': [83, 46], '6': [25, 86, 9], '7': [84, 87], '8': [55], '9': [85, 27], '10': [18], '11': [2]}"
average,cosine,13,"{'0': [81, 80, 20, 5, 67, 90, 57, 6, 59, 70], '1': [30, 91, 22, 28, 24], '2': [25, 86, 9], '3': [52, 61, 89, 92], '4': [12, 10], '5': [83, 46], '6': [78], '7': [84, 87], '8': [55], '9': [85, 27], '10': [18], '11': [2], '12': [76]}"
average,cosine,14,"{'0': [30, 91, 22, 28, 24], '1': [52, 61, 89, 92], '2': [81, 20, 90, 70], '3': [80, 5, 67, 57, 6, 59], '4': [12, 10], '5': [83, 46], '6': [25, 86, 9], '7': [84, 87], '8': [55], '9': [85, 27], '10': [18], '11': [2], '12': [76], '13': [78]}"
average,cosine,15,"{'0': [52, 61, 89, 92], '1': [80, 5, 67, 57, 6, 59], '2': [81, 20, 90, 70], '3': [30, 22, 24], '4': [12, 10], '5': [83, 46], '6': [91, 28], '7': [84, 87], '8': [55], '9': [85, 27], '10': [18], '11': [2], '12': [76], '13': [78], '14': [25, 86, 9]}"
average,cosine,16,"{'0': [80, 5, 67, 57, 6, 59], '1': [30, 22, 24], '2': [81, 20, 90, 70], '3': [52, 89], '4': [12, 10], '5': [83, 46], '6': [91, 28], '7': [61, 92], '8': [55], '9': [85, 27], '10': [18], '11': [2], '12': [76], '13': [78], '14': [25, 86, 9], '15': [84, 87]}"
average,cosine,17,"{'0': [81, 20, 90, 70], '1': [30, 22, 24], '2': [91, 28], '3': [52, 89], '4': [12, 10], '5': [83, 46], '6': [80, 5, 6, 59], '7': [61, 92], '8': [55], '9': [85, 27], '10': [18], '11': [2], '12': [76], '13': [78], '14': [25, 86, 9], '15': [84, 87], '16': [67, 57]}"
average,cosine,18,"{'0': [30, 22, 24], '1': [12, 10], '2': [91, 28], '3': [52, 89], '4': [85, 27], '5': [83, 46], '6': [80, 5, 6, 59], '7': [61, 92], '8': [55], '9': [20, 90, 70], '10': [18], '11': [2], '12': [76], '13': [78], '14': [25, 86, 9], '15': [84, 87], '16': [67, 57], '17': [81]}"
average,cosine,19,"{'0': [12, 10], '1': [52, 89], '2': [91, 28], '3': [61, 92], '4': [85, 27], '5': [83, 46], '6': [80, 5, 6, 59], '7': [67, 57], '8': [55], '9': [20, 90, 70], '10': [18], '11': [2], '12': [76], '13': [78], '14': [25, 86, 9], '15': [84, 87], '16': [22, 24], '17': [81], '18': [30]}"
average,cosine,20,"{'0': [52, 89], '1': [85, 27], '2': [91, 28], '3': [61, 92], '4': [20, 90, 70], '5': [83, 46], '6': [80, 5, 6, 59], '7': [67, 57], '8': [55], '9': [10], '10': [18], '11': [2], '12': [76], '13': [78], '14': [25, 86, 9], '15': [84, 87], '16': [22, 24], '17': [81], '18': [30], '19': [12]}"
average,precomputed,2,"{'0': [76, 84, 5, 2, 87, 12, 61, 67, 90, 91, 22, 89, 57, 24, 70], '1': [83, 52, 81, 80, 25, 85, 20, 86, 78, 30, 55, 46, 6, 28, 9, 27, 59, 92, 18, 10]}"
average,precomputed,3,"{'0': [83, 52, 81, 80, 25, 85, 20, 86, 78, 30, 55, 46, 6, 28, 9, 27, 59, 92, 18, 10], '1': [84, 5, 87, 61, 67, 91, 22, 89, 57, 24, 70], '2': [76, 2, 12, 90]}"
average,precomputed,4,"{'0': [52, 81, 80, 25, 85, 20, 86, 78, 28, 9, 27, 59, 18, 10], '1': [84, 5, 87, 61, 67, 91, 22, 89, 57, 24, 70], '2': [76, 2, 12, 90], '3': [83, 30, 55, 46, 6, 92]}"
average,precomputed,5,"{'0': [84, 5, 87, 61, 67, 91, 22, 89, 57, 24, 70], '1': [83, 30, 55, 46, 6, 92], '2': [76, 2, 12, 90], '3': [52, 81, 80, 85, 20, 86, 78, 28, 9, 27], '4': [25, 59, 18, 10]}"
average,precomputed,6,"{'0': [83, 30, 55, 46, 6, 92], '1': [52, 81, 80, 85, 20, 86, 78, 28, 9, 27], '2': [76, 2, 12, 90], '3': [84, 5, 87, 67, 91, 22, 89, 24, 70], '4': [25, 59, 18, 10], '5': [61, 57]}"
average,precomputed,7,"{'0': [76, 2, 12, 90], '1': [52, 81, 80, 85, 20, 86, 78, 28, 9, 27], '2': [46, 92], '3': [84, 5, 87, 67, 91, 22, 89, 24, 70], '4': [25, 59, 18, 10], '5': [61, 57], '6': [83, 30, 55, 6]}"
average,precomputed,8,"{'0': [52, 81, 80, 85, 20, 86, 78, 28, 9, 27], '1': [84, 5, 87, 67, 91, 22, 89, 24, 70], '2': [46, 92], '3': [76, 2, 12], '4': [25, 59, 18, 10], '5': [61, 57], '6': [83, 30, 55, 6], '7': [90]}"
average,precomputed,9,"{'0': [84, 5, 87, 67, 91, 22, 89, 24, 70], '1': [81, 80, 85, 20, 86, 78, 9, 27], '2': [46, 92], '3': [52, 28], '4': [25, 59, 18, 10], '5': [61, 57], '6': [83, 30, 55, 6], '7': [90], '8': [76, 2, 12]}"
average,precomputed,10,"{'0': [81, 80, 85, 20, 86, 78, 9, 27], '1': [5, 91, 89, 70], '2': [46, 92], '3': [52, 28], '4': [84, 87, 67, 22, 24], '5': [61, 57], '6': [83, 30, 55, 6], '7': [90], '8': [76, 2, 12], '9': [25, 59, 18, 10]}"
average,precomputed,11,"{'0': [5, 91, 89, 70], '1': [84, 87, 67, 22, 24], '2': [46, 92], '3': [52, 28], '4': [25, 59, 18, 10], '5': [61, 57], '6': [83, 30, 55, 6], '7': [90], '8': [76, 2, 12], '9': [80, 85, 86, 78, 27], '10': [81, 20, 9]}"
average,precomputed,12,"{'0': [84, 87, 67, 22, 24], '1': [25, 59, 18, 10], '2': [46, 92], '3': [52, 28], '4': [80, 85, 86, 78, 27], '5': [61, 57], '6': [83, 30, 55, 6], '7': [90], '8': [76, 2, 12], '9': [91, 89, 70], '10': [81, 20, 9], '11': [5]}"
average,precomputed,13,"{'0': [25, 59, 18, 10], '1': [80, 85, 86, 78, 27], '2': [46, 92], '3': [52, 28], '4': [91, 89, 70], '5': [61, 57], '6': [83, 30, 55, 6], '7': [90], '8': [76, 2, 12], '9': [87, 67, 22], '10': [81, 20, 9], '11': [5], '12': [84, 24]}"
average,precomputed,14,"{'0': [80, 85, 86, 78, 27], '1': [91, 89, 70], '2': [46, 92], '3': [52, 28], '4': [81, 20, 9], '5': [61, 57], '6': [83, 30, 55, 6], '7': [90], '8': [76, 2, 12], '9': [87, 67, 22], '10': [25, 59], '11': [5], '12': [84, 24], '13': [18, 10]}"
average,precomputed,15,"{'0': [91, 89, 70], '1': [52, 28], '2': [46, 92], '3': [76, 2, 12], '4': [81, 20, 9], '5': [61, 57], '6': [83, 30, 55, 6], '7': [90], '8': [85, 78, 27], '9': [87, 67, 22], '10': [25, 59], '11': [5], '12': [84, 24], '13': [18, 10], '14': [80, 86]}"
average,precomputed,16,"{'0': [46, 92], '1': [52, 28], '2': [83, 30, 55, 6], '3': [76, 2, 12], '4': [81, 20, 9], '5': [61, 57], '6': [91, 89], '7': [70], '8': [85, 78, 27], '9': [87, 67, 22], '10': [25, 59], '11': [5], '12': [84, 24], '13': [18, 10], '14': [80, 86], '15': [90]}"
average,precomputed,17,"{'0': [52, 28], '1': [81, 20, 9], '2': [83, 30, 55, 6], '3': [76, 2, 12], '4': [87, 67, 22], '5': [61, 57], '6': [91, 89], '7': [70], '8': [85, 78, 27], '9': [92], '10': [25, 59], '11': [5], '12': [84, 24], '13': [18, 10], '14': [80, 86], '15': [90], '16': [46]}"
average,precomputed,18,"{'0': [81, 20, 9], '1': [87, 67, 22], '2': [83, 30, 55, 6], '3': [76, 2, 12], '4': [25, 59], '5': [61, 57], '6': [91, 89], '7': [70], '8': [85, 78, 27], '9': [92], '10': [28], '11': [5], '12': [84, 24], '13': [18, 10], '14': [80, 86], '15': [90], '16': [46], '17': [52]}"
average,precomputed,19,"{'0': [83, 30, 55, 6], '1': [87, 67, 22], '2': [91, 89], '3': [76, 2, 12], '4': [25, 59], '5': [61, 57], '6': [18, 10], '7': [70], '8': [85, 78, 27], '9': [92], '10': [28], '11': [5], '12': [84, 24], '13': [81, 9], '14': [80, 86], '15': [90], '16': [46], '17': [52], '18': [20]}"
average,precomputed,20,"{'0': [87, 67, 22], '1': [76, 2, 12], '2': [91, 89], '3': [83, 30], '4': [25, 59], '5': [61, 57], '6': [18, 10], '7': [70], '8': [85, 78, 27], '9': [55, 6], '10': [28], '11': [5], '12': [84, 24], '13': [81, 9], '14': [80, 86], '15': [90], '16': [46], '17': [52], '18': [20], '19': [92]}"
single,euclidean,2,"{'0': [83, 52, 81, 76, 25, 85, 20, 86, 84, 78, 5, 30, 2, 55, 87, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 9, 24, 27, 59, 70, 92, 18, 10], '1': [80]}"
single,euclidean,3,"{'0': [83, 52, 76, 25, 85, 20, 86, 84, 78, 5, 30, 2, 55, 87, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 9, 24, 27, 59, 70, 92, 18, 10], '1': [80], '2': [81]}"
single,euclidean,4,"{'0': [83, 52, 76, 25, 85, 20, 84, 78, 5, 30, 2, 55, 87, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 9, 24, 27, 59, 70, 92, 18, 10], '1': [86], '2': [81], '3': [80]}"
single,euclidean,5,"{'0': [83, 52, 76, 25, 85, 20, 84, 5, 30, 2, 55, 87, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 9, 24, 27, 59, 70, 92, 18, 10], '1': [78], '2': [81], '3': [80], '4': [86]}"
single,euclidean,6,"{'0': [83, 52, 76, 25, 85, 20, 5, 30, 2, 55, 87, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 9, 24, 27, 59, 70, 92, 18, 10], '1': [78], '2': [84], '3': [80], '4': [86], '5': [81]}"
single,euclidean,7,"{'0': [83, 52, 25, 85, 20, 5, 30, 2, 55, 87, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 9, 24, 27, 59, 70, 92, 18, 10], '1': [78], '2': [84], '3': [80], '4': [86], '5': [81], '6': [76]}"
single,euclidean,8,"{'0': [83, 52, 25, 85, 20, 5, 30, 2, 55, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 9, 24, 27, 59, 70, 92, 18, 10], '1': [87], '2': [84], '3': [78], '4': [86], '5': [81], '6': [76], '7': [80]}"
single,euclidean,9,"{'0': [83, 52, 25, 85, 20, 5, 30, 2, 55, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 24, 27, 59, 70, 92, 18, 10], '1': [9], '2': [84], '3': [87], '4': [86], '5': [81], '6': [76], '7': [80], '8': [78]}"
single,euclidean,10,"{'0': [83, 52, 25, 85, 20, 5, 30, 2, 55, 46, 12, 61, 67, 90, 22, 89, 57, 6, 28, 24, 27, 59, 70, 92, 18, 10], '1': [9], '2': [84], '3': [87], '4': [91], '5': [81], '6': [76], '7': [80], '8': [78], '9': [86]}"
single,euclidean,11,"{'0': [83, 52, 25, 85, 20, 5, 30, 2, 46, 12, 61, 67, 90, 22, 89, 57, 6, 28, 24, 27, 59, 70, 92, 18, 10], '1': [9], '2': [84], '3': [87], '4': [91], '5': [81], '6': [76], '7': [80], '8': [78], '9': [86], '10': [55]}"
single,euclidean,12,"{'0': [83, 52, 25, 85, 20, 5, 2, 46, 12, 61, 67, 90, 22, 89, 57, 6, 28, 24, 27, 59, 70, 92, 18, 10], '1': [9], '2': [30], '3': [87], '4': [91], '5': [84], '6': [76], '7': [80], '8': [78], '9': [86], '10': [55], '11': [81]}"
single,euclidean,13,"{'0': [83, 52, 25, 85, 20, 5, 2, 46, 12, 61, 67, 90, 22, 89, 57, 6, 28, 24, 27, 70, 92, 18, 10], '1': [9], '2': [59], '3': [87], '4': [91], '5': [30], '6': [76], '7': [80], '8': [78], '9': [86], '10': [55], '11': [81], '12': [84]}"
single,euclidean,14,"{'0': [83, 52, 25, 20, 5, 2, 46, 12, 61, 67, 90, 22, 89, 57, 6, 28, 24, 27, 70, 92, 18, 10], '1': [9], '2': [59], '3': [87], '4': [91], '5': [30], '6': [85], '7': [80], '8': [78], '9': [86], '10': [55], '11': [81], '12': [84], '13': [76]}"
single,euclidean,15,"{'0': [83, 52, 25, 20, 5, 46, 12, 61, 67, 90, 22, 89, 57, 6, 28, 24, 27, 70, 92, 18, 10], '1': [9], '2': [59], '3': [87], '4': [91], '5': [30], '6': [2], '7': [80], '8': [78], '9': [86], '10': [55], '11': [81], '12': [84], '13': [76], '14': [85]}"
single,euclidean,16,"{'0': [83, 52, 20, 5, 46, 12, 61, 67, 90, 22, 89, 57, 6, 28, 24, 27, 70, 92, 18, 10], '1': [9], '2': [59], '3': [87], '4': [91], '5': [30], '6': [2], '7': [25], '8': [78], '9': [86], '10': [55], '11': [81], '12': [84], '13': [76], '14': [85], '15': [80]}"
single,euclidean,17,"{'0': [83, 20, 5, 46, 12, 61, 67, 90, 22, 89, 57, 6, 28, 24, 27, 70, 92, 18, 10], '1': [9], '2': [59], '3': [87], '4': [91], '5': [30], '6': [2], '7': [25], '8': [78], '9': [86], '10': [55], '11': [81], '12': [84], '13': [76], '14': [85], '15': [80], '16': [52]}"
