Linkage,Affinity,Number_of_Clusters,TASK_Group
average,euclidean,12,"{'0': [3, 18, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [2, 5], '3': [27], '4': [14], '5': [15], '6': [17, 26], '7': [10], '8': [16], '9': [0], '10': [9], '11': [1]}"
average,euclidean,13,"{'0': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '1': [18, 28], '2': [2, 5], '3': [27], '4': [14], '5': [15], '6': [17, 26], '7': [10], '8': [16], '9': [0], '10': [9], '11': [1], '12': [3]}"
average,euclidean,14,"{'0': [2, 5], '1': [18, 28], '2': [4, 6, 7, 8, 11, 12, 19, 20, 22, 23, 24, 25], '3': [27], '4': [14], '5': [15], '6': [17, 26], '7': [10], '8': [16], '9': [0], '10': [9], '11': [1], '12': [3], '13': [13, 21]}"
average,euclidean,15,"{'0': [18, 28], '1': [27], '2': [4, 6, 7, 8, 11, 12, 19, 20, 22, 23, 24, 25], '3': [16], '4': [14], '5': [15], '6': [17, 26], '7': [10], '8': [5], '9': [0], '10': [9], '11': [1], '12': [3], '13': [13, 21], '14': [2]}"
average,manhattan,2,"{'0': [0, 1, 2, 3, 5, 9, 10, 14, 15, 16, 17, 18, 26, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25]}"
average,manhattan,3,"{'0': [0, 15, 16], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [1, 2, 3, 5, 9, 10, 14, 17, 18, 26, 27, 28]}"
average,manhattan,4,"{'0': [1, 2, 3, 5, 9, 10, 14, 17, 18, 26, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [0, 16], '3': [15]}"
average,manhattan,5,"{'0': [1, 2, 3, 5, 9, 10, 14, 18, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [0, 16], '3': [15], '4': [17, 26]}"
average,manhattan,6,"{'0': [1, 2, 5, 9, 10, 14, 27], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [3, 18, 28], '3': [15], '4': [17, 26], '5': [0, 16]}"
average,manhattan,7,"{'0': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '1': [1, 9, 10, 14, 27], '2': [3, 18, 28], '3': [15], '4': [17, 26], '5': [0, 16], '6': [2, 5]}"
average,manhattan,8,"{'0': [3, 18, 28], '1': [1, 9, 10, 14, 27], '2': [0, 16], '3': [8, 12, 13, 21, 25], '4': [17, 26], '5': [4, 6, 7, 11, 19, 20, 22, 23, 24], '6': [2, 5], '7': [15]}"
average,manhattan,9,"{'0': [0, 16], '1': [1, 9, 10, 14, 27], '2': [4, 6, 7, 11, 19, 20, 22, 23, 24], '3': [8, 12, 13, 21, 25], '4': [17, 26], '5': [18, 28], '6': [2, 5], '7': [15], '8': [3]}"
average,manhattan,10,"{'0': [1, 9, 10, 14, 27], '1': [17, 26], '2': [4, 6, 7, 11, 19, 20, 22, 23, 24], '3': [8, 12, 13, 21, 25], '4': [16], '5': [18, 28], '6': [2, 5], '7': [15], '8': [3], '9': [0]}"
average,manhattan,11,"{'0': [1, 9, 14, 27], '1': [17, 26], '2': [4, 6, 7, 11, 19, 20, 22, 23, 24], '3': [8, 12, 13, 21, 25], '4': [16], '5': [18, 28], '6': [2, 5], '7': [15], '8': [3], '9': [0], '10': [10]}"
average,manhattan,12,"{'0': [1, 14, 27], '1': [17, 26], '2': [4, 6, 7, 11, 19, 20, 22, 23, 24], '3': [8, 12, 13, 21, 25], '4': [16], '5': [18, 28], '6': [2, 5], '7': [15], '8': [3], '9': [0], '10': [10], '11': [9]}"
average,manhattan,13,"{'0': [17, 26], '1': [8, 12, 13, 21, 25], '2': [4, 6, 7, 11, 19, 20, 22, 23, 24], '3': [14, 27], '4': [16], '5': [18, 28], '6': [2, 5], '7': [15], '8': [3], '9': [0], '10': [10], '11': [9], '12': [1]}"
average,manhattan,14,"{'0': [4, 6, 7, 11, 19, 20, 22, 23, 24], '1': [8, 12, 13, 21, 25], '2': [18, 28], '3': [14, 27], '4': [16], '5': [26], '6': [2, 5], '7': [15], '8': [3], '9': [0], '10': [10], '11': [9], '12': [1], '13': [17]}"
average,manhattan,15,"{'0': [8, 12, 13, 21, 25], '1': [6, 7, 11, 19, 20, 22, 23, 24], '2': [18, 28], '3': [14, 27], '4': [16], '5': [26], '6': [2, 5], '7': [15], '8': [3], '9': [0], '10': [10], '11': [9], '12': [1], '13': [17], '14': [4]}"
average,cosine,2,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28], '1': [21]}"
average,cosine,3,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28], '1': [21], '2': [13]}"
average,cosine,4,"{'0': [0, 1, 2, 3, 4, 5, 6, 9, 10, 14, 15, 16, 17, 18, 22, 23, 24, 26, 27, 28], '1': [7, 8, 11, 12, 19, 20, 25], '2': [13], '3': [21]}"
average,cosine,5,"{'0': [7, 8, 11, 12, 19, 20, 25], '1': [0, 1, 2, 3, 5, 6, 9, 10, 14, 15, 16, 17, 18, 22, 23, 24, 26, 27, 28], '2': [13], '3': [21], '4': [4]}"
average,cosine,6,"{'0': [0, 1, 2, 3, 5, 6, 9, 10, 14, 15, 16, 17, 18, 22, 23, 24, 26, 27, 28], '1': [7, 8, 11, 12, 19, 20], '2': [25], '3': [21], '4': [4], '5': [13]}"
average,cosine,7,"{'0': [0, 3, 9, 10, 14, 15, 16, 18, 27, 28], '1': [7, 8, 11, 12, 19, 20], '2': [1, 2, 5, 6, 17, 22, 23, 24, 26], '3': [21], '4': [4], '5': [13], '6': [25]}"
average,cosine,8,"{'0': [1, 2, 5, 6, 17, 22, 23, 24, 26], '1': [7, 8, 11, 12, 19, 20], '2': [0, 3, 9, 10, 16, 18, 27, 28], '3': [14, 15], '4': [4], '5': [13], '6': [25], '7': [21]}"
average,cosine,9,"{'0': [0, 3, 9, 10, 16, 18, 27, 28], '1': [7, 8, 11, 12, 19, 20], '2': [1, 5, 17, 22, 23, 24, 26], '3': [14, 15], '4': [4], '5': [13], '6': [25], '7': [21], '8': [2, 6]}"
average,cosine,10,"{'0': [1, 5, 17, 22, 23, 24, 26], '1': [7, 8, 11, 12, 19, 20], '2': [0, 9, 10, 16, 18, 27, 28], '3': [14, 15], '4': [4], '5': [13], '6': [25], '7': [21], '8': [2, 6], '9': [3]}"
average,cosine,11,"{'0': [7, 8, 11, 12, 19, 20], '1': [1, 5], '2': [0, 9, 10, 16, 18, 27, 28], '3': [14, 15], '4': [17, 22, 23, 24, 26], '5': [13], '6': [25], '7': [21], '8': [2, 6], '9': [3], '10': [4]}"
average,cosine,12,"{'0': [0, 9, 10, 16, 18, 27, 28], '1': [1, 5], '2': [7, 8, 12, 19], '3': [14, 15], '4': [17, 22, 23, 24, 26], '5': [11, 20], '6': [25], '7': [21], '8': [2, 6], '9': [3], '10': [4], '11': [13]}"
average,cosine,13,"{'0': [0, 10, 16, 27, 28], '1': [1, 5], '2': [7, 8, 12, 19], '3': [14, 15], '4': [17, 22, 23, 24, 26], '5': [11, 20], '6': [25], '7': [21], '8': [2, 6], '9': [3], '10': [4], '11': [13], '12': [9, 18]}"
average,cosine,14,"{'0': [1, 5], '1': [14, 15], '2': [7, 8, 12, 19], '3': [0, 16, 27], '4': [17, 22, 23, 24, 26], '5': [11, 20], '6': [10, 28], '7': [21], '8': [2, 6], '9': [3], '10': [4], '11': [13], '12': [9, 18], '13': [25]}"
average,cosine,15,"{'0': [7, 8, 12, 19], '1': [14, 15], '2': [11, 20], '3': [0, 16, 27], '4': [17, 22, 23, 24, 26], '5': [9, 18], '6': [10, 28], '7': [21], '8': [2, 6], '9': [3], '10': [4], '11': [13], '12': [5], '13': [25], '14': [1]}"
average,precomputed,2,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [16]}"
average,precomputed,3,"{'0': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [16], '2': [0]}"
average,precomputed,4,"{'0': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [16], '2': [0], '3': [15]}"
average,precomputed,5,"{'0': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28], '1': [27], '2': [0], '3': [15], '4': [16]}"
average,precomputed,6,"{'0': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28], '1': [27], '2': [14], '3': [15], '4': [16], '5': [0]}"
average,precomputed,7,"{'0': [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28], '1': [27], '2': [14], '3': [15], '4': [16], '5': [0], '6': [10]}"
average,precomputed,8,"{'0': [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28], '1': [27], '2': [14], '3': [15], '4': [16], '5': [0], '6': [10], '7': [1]}"
average,precomputed,9,"{'0': [2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28], '1': [27], '2': [14], '3': [15], '4': [16], '5': [0], '6': [10], '7': [1], '8': [9]}"
average,precomputed,10,"{'0': [2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26], '1': [28], '2': [14], '3': [15], '4': [27], '5': [0], '6': [10], '7': [1], '8': [9], '9': [16]}"
average,precomputed,11,"{'0': [2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 17, 19, 20, 21, 22, 23, 24, 25, 26], '1': [28], '2': [14], '3': [15], '4': [27], '5': [0], '6': [10], '7': [1], '8': [9], '9': [16], '10': [18]}"
average,precomputed,12,"{'0': [2, 4, 5, 6, 7, 8, 11, 12, 13, 17, 19, 20, 21, 22, 23, 24, 25, 26], '1': [28], '2': [14], '3': [15], '4': [27], '5': [3], '6': [10], '7': [1], '8': [9], '9': [16], '10': [18], '11': [0]}"
average,precomputed,13,"{'0': [4, 5, 6, 7, 8, 11, 12, 13, 17, 19, 20, 21, 22, 23, 24, 25, 26], '1': [28], '2': [14], '3': [15], '4': [27], '5': [3], '6': [10], '7': [1], '8': [9], '9': [16], '10': [18], '11': [0], '12': [2]}"
average,precomputed,14,"{'0': [4, 6, 7, 8, 11, 12, 13, 17, 19, 20, 21, 22, 23, 24, 25, 26], '1': [28], '2': [14], '3': [15], '4': [27], '5': [3], '6': [10], '7': [1], '8': [9], '9': [16], '10': [18], '11': [0], '12': [2], '13': [5]}"
average,precomputed,15,"{'0': [4, 6, 7, 8, 11, 12, 13, 17, 19, 20, 21, 22, 23, 24, 25], '1': [28], '2': [26], '3': [15], '4': [27], '5': [3], '6': [14], '7': [1], '8': [9], '9': [16], '10': [18], '11': [0], '12': [2], '13': [5], '14': [10]}"
complete,euclidean,2,"{'0': [0, 1, 2, 3, 5, 9, 10, 14, 15, 16, 17, 18, 26, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25]}"
complete,euclidean,3,"{'0': [15, 16], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [0, 1, 2, 3, 5, 9, 10, 14, 17, 18, 26, 27, 28]}"
complete,euclidean,4,"{'0': [0, 1, 2, 3, 5, 9, 10, 14, 17, 18, 26, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [16], '3': [15]}"
complete,euclidean,5,"{'0': [1, 2, 5, 10, 14, 17, 26, 27], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [16], '3': [15], '4': [0, 3, 9, 18, 28]}"
complete,euclidean,6,"{'0': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '1': [0, 3, 9, 18, 28], '2': [17, 26], '3': [15], '4': [1, 2, 5, 10, 14, 27], '5': [16]}"
complete,euclidean,7,"{'0': [0, 3, 9, 18, 28], '1': [1, 2, 5, 10, 14, 27], '2': [8, 12, 13, 21, 25], '3': [15], '4': [4, 6, 7, 11, 19, 20, 22, 23, 24], '5': [16], '6': [17, 26]}"
complete,euclidean,8,"{'0': [1, 2, 5, 10, 14, 27], '1': [3, 9, 18, 28], '2': [8, 12, 13, 21, 25], '3': [15], '4': [4, 6, 7, 11, 19, 20, 22, 23, 24], '5': [16], '6': [17, 26], '7': [0]}"
complete,euclidean,9,"{'0': [3, 9, 18, 28], '1': [1, 10, 14, 27], '2': [8, 12, 13, 21, 25], '3': [2, 5], '4': [4, 6, 7, 11, 19, 20, 22, 23, 24], '5': [16], '6': [17, 26], '7': [0], '8': [15]}"
complete,euclidean,10,"{'0': [1, 10, 14, 27], '1': [3, 18, 28], '2': [8, 12, 13, 21, 25], '3': [2, 5], '4': [4, 6, 7, 11, 19, 20, 22, 23, 24], '5': [16], '6': [17, 26], '7': [0], '8': [15], '9': [9]}"
complete,euclidean,11,"{'0': [10, 14], '1': [3, 18, 28], '2': [8, 12, 13, 21, 25], '3': [2, 5], '4': [4, 6, 7, 11, 19, 20, 22, 23, 24], '5': [16], '6': [17, 26], '7': [0], '8': [15], '9': [9], '10': [1, 27]}"
complete,euclidean,12,"{'0': [3, 18, 28], '1': [4, 6, 7, 11, 19, 20, 22, 23, 24], '2': [8, 12, 13, 21, 25], '3': [2, 5], '4': [1, 27], '5': [16], '6': [17, 26], '7': [0], '8': [15], '9': [9], '10': [14], '11': [10]}"
complete,euclidean,13,"{'0': [4, 6, 7, 11, 19, 20, 22, 23, 24], '1': [1, 27], '2': [8, 12, 13, 21, 25], '3': [2, 5], '4': [18, 28], '5': [16], '6': [17, 26], '7': [0], '8': [15], '9': [9], '10': [14], '11': [10], '12': [3]}"
complete,euclidean,14,"{'0': [1, 27], '1': [2, 5], '2': [8, 12, 13, 21, 25], '3': [4, 22, 23, 24], '4': [18, 28], '5': [16], '6': [17, 26], '7': [0], '8': [15], '9': [9], '10': [14], '11': [10], '12': [3], '13': [6, 7, 11, 19, 20]}"
complete,euclidean,15,"{'0': [2, 5], '1': [18, 28], '2': [8, 12, 13, 21, 25], '3': [4, 22, 23, 24], '4': [27], '5': [16], '6': [17, 26], '7': [0], '8': [15], '9': [9], '10': [14], '11': [10], '12': [3], '13': [6, 7, 11, 19, 20], '14': [1]}"
complete,manhattan,2,"{'0': [0, 1, 2, 3, 5, 9, 10, 14, 15, 16, 17, 18, 26, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25]}"
complete,manhattan,3,"{'0': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '1': [0, 15, 16], '2': [1, 2, 3, 5, 9, 10, 14, 17, 18, 26, 27, 28]}"
complete,manhattan,4,"{'0': [0, 15, 16], '1': [7, 8, 12, 13, 19, 21, 25], '2': [1, 2, 3, 5, 9, 10, 14, 17, 18, 26, 27, 28], '3': [4, 6, 11, 20, 22, 23, 24]}"
complete,manhattan,5,"{'0': [1, 2, 3, 5, 9, 10, 14, 17, 18, 26, 27, 28], '1': [7, 8, 12, 13, 19, 21, 25], '2': [0, 16], '3': [4, 6, 11, 20, 22, 23, 24], '4': [15]}"
complete,manhattan,6,"{'0': [2, 3, 5, 17, 18, 26, 28], '1': [7, 8, 12, 13, 19, 21, 25], '2': [1, 9, 10, 14, 27], '3': [4, 6, 11, 20, 22, 23, 24], '4': [15], '5': [0, 16]}"
complete,manhattan,7,"{'0': [7, 8, 12, 13, 19, 21, 25], '1': [2, 5, 17, 26], '2': [1, 9, 10, 14, 27], '3': [4, 6, 11, 20, 22, 23, 24], '4': [15], '5': [0, 16], '6': [3, 18, 28]}"
complete,manhattan,8,"{'0': [2, 5, 17, 26], '1': [4, 6, 11, 20, 22, 23, 24], '2': [1, 9, 10, 14, 27], '3': [13, 21], '4': [15], '5': [0, 16], '6': [3, 18, 28], '7': [7, 8, 12, 19, 25]}"
complete,manhattan,9,"{'0': [4, 6, 11, 20, 22, 23, 24], '1': [17, 26], '2': [1, 9, 10, 14, 27], '3': [2, 5], '4': [15], '5': [0, 16], '6': [3, 18, 28], '7': [7, 8, 12, 19, 25], '8': [13, 21]}"
complete,manhattan,10,"{'0': [1, 9, 10, 14, 27], '1': [17, 26], '2': [3, 18, 28], '3': [2, 5], '4': [22, 23, 24], '5': [0, 16], '6': [4, 6, 11, 20], '7': [7, 8, 12, 19, 25], '8': [13, 21], '9': [15]}"
complete,manhattan,11,"{'0': [3, 18, 28], '1': [1, 14, 27], '2': [0, 16], '3': [2, 5], '4': [17, 26], '5': [9, 10], '6': [4, 6, 11, 20], '7': [7, 8, 12, 19, 25], '8': [13, 21], '9': [15], '10': [22, 23, 24]}"
complete,manhattan,12,"{'0': [0, 16], '1': [1, 14, 27], '2': [4, 6, 11, 20], '3': [2, 5], '4': [17, 26], '5': [9, 10], '6': [18, 28], '7': [7, 8, 12, 19, 25], '8': [13, 21], '9': [15], '10': [22, 23, 24], '11': [3]}"
complete,manhattan,13,"{'0': [4, 6, 11, 20], '1': [1, 14, 27], '2': [9, 10], '3': [2, 5], '4': [17, 26], '5': [16], '6': [18, 28], '7': [7, 8, 12, 19, 25], '8': [13, 21], '9': [15], '10': [22, 23, 24], '11': [3], '12': [0]}"
complete,manhattan,14,"{'0': [9, 10], '1': [1, 14, 27], '2': [18, 28], '3': [2, 5], '4': [17, 26], '5': [16], '6': [6, 11, 20], '7': [7, 8, 12, 19, 25], '8': [13, 21], '9': [15], '10': [22, 23, 24], '11': [3], '12': [0], '13': [4]}"
complete,manhattan,15,"{'0': [1, 14, 27], '1': [17, 26], '2': [18, 28], '3': [2, 5], '4': [22, 23, 24], '5': [16], '6': [6, 11, 20], '7': [7, 8, 12, 19, 25], '8': [13, 21], '9': [15], '10': [10], '11': [3], '12': [0], '13': [4], '14': [9]}"
complete,cosine,2,"{'0': [2, 6, 7, 8, 11, 12, 13, 19, 20, 21, 25], '1': [0, 1, 3, 4, 5, 9, 10, 14, 15, 16, 17, 18, 22, 23, 24, 26, 27, 28]}"
complete,cosine,3,"{'0': [13, 21], '1': [0, 1, 3, 4, 5, 9, 10, 14, 15, 16, 17, 18, 22, 23, 24, 26, 27, 28], '2': [2, 6, 7, 8, 11, 12, 19, 20, 25]}"
complete,cosine,4,"{'0': [0, 1, 3, 4, 5, 9, 10, 14, 15, 16, 17, 18, 22, 23, 24, 26, 27, 28], '1': [21], '2': [2, 6, 7, 8, 11, 12, 19, 20, 25], '3': [13]}"
complete,cosine,5,"{'0': [2, 6, 7, 8, 11, 12, 19, 20, 25], '1': [0, 1, 3, 5, 9, 10, 16, 18, 27, 28], '2': [4, 14, 15, 17, 22, 23, 24, 26], '3': [13], '4': [21]}"
complete,cosine,6,"{'0': [4, 14, 15, 17, 22, 23, 24, 26], '1': [0, 1, 3, 5, 9, 10, 16, 18, 27, 28], '2': [2, 6, 7, 19, 25], '3': [13], '4': [21], '5': [8, 11, 12, 20]}"
complete,cosine,7,"{'0': [2, 6, 7, 19, 25], '1': [0, 1, 3, 5, 9, 10, 16, 18, 27, 28], '2': [4, 17, 22, 23, 24, 26], '3': [13], '4': [21], '5': [8, 11, 12, 20], '6': [14, 15]}"
complete,cosine,8,"{'0': [0, 1, 3, 5, 9, 10, 16, 18, 27, 28], '1': [7, 19, 25], '2': [4, 17, 22, 23, 24, 26], '3': [2, 6], '4': [21], '5': [8, 11, 12, 20], '6': [14, 15], '7': [13]}"
complete,cosine,9,"{'0': [4, 17, 22, 23, 24, 26], '1': [0, 9, 10, 16, 18, 27, 28], '2': [8, 11, 12, 20], '3': [7, 19, 25], '4': [21], '5': [1, 3, 5], '6': [14, 15], '7': [13], '8': [2, 6]}"
complete,cosine,10,"{'0': [8, 11, 12, 20], '1': [0, 9, 10, 16, 18, 27, 28], '2': [1, 3, 5], '3': [7, 19, 25], '4': [21], '5': [17, 22, 23, 24, 26], '6': [14, 15], '7': [13], '8': [2, 6], '9': [4]}"
complete,cosine,11,"{'0': [1, 3, 5], '1': [0, 9, 10, 16, 18, 27, 28], '2': [11, 20], '3': [7, 19, 25], '4': [8, 12], '5': [17, 22, 23, 24, 26], '6': [14, 15], '7': [13], '8': [2, 6], '9': [4], '10': [21]}"
complete,cosine,12,"{'0': [0, 9, 10, 16, 18, 27, 28], '1': [7, 19, 25], '2': [11, 20], '3': [1, 5], '4': [8, 12], '5': [17, 22, 23, 24, 26], '6': [14, 15], '7': [13], '8': [2, 6], '9': [4], '10': [21], '11': [3]}"
complete,cosine,13,"{'0': [0, 9, 16, 18, 27], '1': [7, 19, 25], '2': [11, 20], '3': [1, 5], '4': [8, 12], '5': [17, 22, 23, 24, 26], '6': [14, 15], '7': [13], '8': [2, 6], '9': [4], '10': [21], '11': [3], '12': [10, 28]}"
complete,cosine,14,"{'0': [7, 19, 25], '1': [1, 5], '2': [11, 20], '3': [0, 16, 27], '4': [8, 12], '5': [17, 22, 23, 24, 26], '6': [14, 15], '7': [13], '8': [2, 6], '9': [4], '10': [21], '11': [3], '12': [10, 28], '13': [9, 18]}"
complete,cosine,15,"{'0': [1, 5], '1': [0, 16, 27], '2': [11, 20], '3': [7, 19], '4': [8, 12], '5': [17, 22, 23, 24, 26], '6': [14, 15], '7': [13], '8': [2, 6], '9': [4], '10': [21], '11': [3], '12': [10, 28], '13': [9, 18], '14': [25]}"
complete,precomputed,2,"{'0': [14, 15, 16, 17, 24], '1': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]}"
complete,precomputed,3,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28], '1': [14, 15, 17, 24], '2': [16]}"
complete,precomputed,4,"{'0': [0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 18, 19, 20, 21, 22, 23, 25, 26], '1': [3, 10, 27, 28], '2': [16], '3': [14, 15, 17, 24]}"
complete,precomputed,5,"{'0': [0, 2, 4, 6, 7, 8, 9, 11, 12, 13, 18, 19, 20, 21, 22, 23, 25, 26], '1': [3, 10, 27, 28], '2': [16], '3': [14, 15, 17, 24], '4': [1, 5]}"
complete,precomputed,6,"{'0': [3, 10, 27, 28], '1': [0, 2, 4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '2': [9, 18], '3': [14, 15, 17, 24], '4': [1, 5], '5': [16]}"
complete,precomputed,7,"{'0': [0, 2, 4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '1': [1, 5], '2': [9, 18], '3': [14, 15, 17, 24], '4': [3, 27, 28], '5': [16], '6': [10]}"
complete,precomputed,8,"{'0': [1, 5], '1': [3, 27, 28], '2': [9, 18], '3': [14, 15, 17, 24], '4': [2, 4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '5': [16], '6': [10], '7': [0]}"
complete,precomputed,9,"{'0': [3, 27, 28], '1': [2, 4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '2': [9, 18], '3': [14, 15, 17, 24], '4': [5], '5': [16], '6': [10], '7': [0], '8': [1]}"
complete,precomputed,10,"{'0': [2, 4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '1': [14, 15, 17, 24], '2': [9, 18], '3': [3, 28], '4': [27], '5': [16], '6': [10], '7': [0], '8': [1], '9': [5]}"
complete,precomputed,11,"{'0': [14, 15, 17, 24], '1': [3, 28], '2': [9, 18], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '4': [27], '5': [16], '6': [10], '7': [0], '8': [1], '9': [5], '10': [2]}"
complete,precomputed,12,"{'0': [3, 28], '1': [15, 17, 24], '2': [9, 18], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '4': [27], '5': [16], '6': [10], '7': [0], '8': [1], '9': [5], '10': [2], '11': [14]}"
complete,precomputed,13,"{'0': [9, 18], '1': [15, 17, 24], '2': [28], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '4': [27], '5': [16], '6': [10], '7': [0], '8': [1], '9': [5], '10': [2], '11': [14], '12': [3]}"
