Linkage,Affinity,Number_of_Clusters,TASK_Group
average,euclidean,15,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92], '1': [86], '2': [46, 52], '3': [80], '4': [84], '5': [28, 59], '6': [22, 57], '7': [70], '8': [76], '9': [81], '10': [78], '11': [83], '12': [67], '13': [85], '14': [90]}"
average,manhattan,2,"{'0': [46, 52, 70, 76, 78, 80, 81, 83, 84, 85, 86, 90], '1': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92]}"
average,manhattan,3,"{'0': [46, 52, 70, 78, 86, 90], '1': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '2': [76, 80, 81, 83, 84, 85]}"
average,manhattan,4,"{'0': [76, 80, 81, 83, 84, 85], '1': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '2': [70, 78, 86], '3': [46, 52, 90]}"
average,manhattan,5,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '1': [81, 83, 84], '2': [70, 78, 86], '3': [46, 52, 90], '4': [76, 80, 85]}"
average,manhattan,6,"{'0': [22, 28, 57, 59, 67], '1': [81, 83, 84], '2': [70, 78, 86], '3': [46, 52, 90], '4': [76, 80, 85], '5': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92]}"
average,manhattan,7,"{'0': [81, 83, 84], '1': [22, 28, 57, 59], '2': [70, 78, 86], '3': [46, 52, 90], '4': [76, 80, 85], '5': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92], '6': [67]}"
average,manhattan,8,"{'0': [70, 78, 86], '1': [22, 28, 57, 59], '2': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92], '3': [46, 52, 90], '4': [76, 80, 85], '5': [83, 84], '6': [67], '7': [81]}"
average,manhattan,9,"{'0': [22, 28, 57, 59], '1': [76, 80, 85], '2': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92], '3': [46, 52, 90], '4': [70, 86], '5': [83, 84], '6': [67], '7': [81], '8': [78]}"
average,manhattan,10,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92], '1': [76, 80, 85], '2': [22, 28, 57], '3': [46, 52, 90], '4': [70, 86], '5': [83, 84], '6': [67], '7': [81], '8': [78], '9': [59]}"
average,manhattan,11,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 61, 87, 89, 91, 92], '1': [76, 80, 85], '2': [22, 28, 57], '3': [46, 52, 90], '4': [70, 86], '5': [83, 84], '6': [67], '7': [81], '8': [78], '9': [59], '10': [55]}"
average,manhattan,12,"{'0': [2, 5, 6, 9, 10, 12, 20, 24, 27, 30, 87, 89, 91, 92], '1': [76, 80, 85], '2': [22, 28, 57], '3': [46, 52, 90], '4': [70, 86], '5': [18, 25, 61], '6': [67], '7': [81], '8': [78], '9': [59], '10': [55], '11': [83, 84]}"
average,manhattan,13,"{'0': [2, 5, 9, 10, 12, 20, 24, 27, 30, 87, 89, 91, 92], '1': [76, 80, 85], '2': [22, 28, 57], '3': [46, 52, 90], '4': [70, 86], '5': [18, 25, 61], '6': [67], '7': [81], '8': [78], '9': [59], '10': [55], '11': [83, 84], '12': [6]}"
average,manhattan,14,"{'0': [76, 80, 85], '1': [2, 5, 9, 10, 12, 20, 24, 27, 30, 87, 89, 92], '2': [22, 28, 57], '3': [46, 52, 90], '4': [70, 86], '5': [18, 25, 61], '6': [91], '7': [81], '8': [78], '9': [59], '10': [55], '11': [83, 84], '12': [6], '13': [67]}"
average,manhattan,15,"{'0': [22, 28, 57], '1': [2, 5, 9, 10, 12, 20, 24, 27, 30, 87, 89, 92], '2': [18, 25, 61], '3': [46, 52, 90], '4': [70, 86], '5': [83, 84], '6': [91], '7': [81], '8': [78], '9': [59], '10': [55], '11': [76, 80], '12': [6], '13': [67], '14': [85]}"
average,cosine,2,"{'0': [46, 52, 70, 76, 78, 80, 81, 83, 84, 85, 86, 90], '1': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92]}"
average,cosine,3,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '1': [46, 52, 70, 78, 86, 90], '2': [76, 80, 81, 83, 84, 85]}"
average,cosine,4,"{'0': [22, 28, 57, 59, 67], '1': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92], '2': [76, 80, 81, 83, 84, 85], '3': [46, 52, 70, 78, 86, 90]}"
average,cosine,5,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92], '1': [46, 52, 70, 78, 86, 90], '2': [76, 80, 81, 83, 84, 85], '3': [22, 28, 57, 59], '4': [67]}"
average,cosine,6,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 61, 87, 89, 91, 92], '1': [46, 52, 70, 78, 86, 90], '2': [76, 80, 81, 83, 84, 85], '3': [22, 28, 57, 59], '4': [67], '5': [55]}"
average,cosine,7,"{'0': [46, 52, 70, 78, 86, 90], '1': [22, 28, 57, 59], '2': [76, 80, 81, 83, 84, 85], '3': [2, 5, 9, 10, 12, 18, 20, 24, 25, 27, 30, 61, 87, 89, 91, 92], '4': [67], '5': [55], '6': [6]}"
average,cosine,8,"{'0': [76, 80, 81, 83, 84, 85], '1': [22, 28, 57, 59], '2': [46, 52, 78, 86, 90], '3': [2, 5, 9, 10, 12, 18, 20, 24, 25, 27, 30, 61, 87, 89, 91, 92], '4': [67], '5': [55], '6': [6], '7': [70]}"
average,cosine,9,"{'0': [46, 52, 78, 86, 90], '1': [22, 28, 57, 59], '2': [76, 80, 81, 83, 84], '3': [2, 5, 9, 10, 12, 18, 20, 24, 25, 27, 30, 61, 87, 89, 91, 92], '4': [67], '5': [55], '6': [6], '7': [70], '8': [85]}"
average,cosine,10,"{'0': [76, 80, 81, 83, 84], '1': [22, 28, 57, 59], '2': [46, 52, 78, 90], '3': [2, 5, 9, 10, 12, 18, 20, 24, 25, 27, 30, 61, 87, 89, 91, 92], '4': [86], '5': [55], '6': [6], '7': [70], '8': [85], '9': [67]}"
average,cosine,11,"{'0': [80, 81, 83, 84], '1': [22, 28, 57, 59], '2': [46, 52, 78, 90], '3': [2, 5, 9, 10, 12, 18, 20, 24, 25, 27, 30, 61, 87, 89, 91, 92], '4': [86], '5': [55], '6': [6], '7': [70], '8': [85], '9': [67], '10': [76]}"
average,cosine,12,"{'0': [22, 28, 57, 59], '1': [2, 5, 9, 10, 12, 18, 20, 24, 25, 27, 30, 61, 87, 89, 91, 92], '2': [46, 52, 78, 90], '3': [81, 83, 84], '4': [86], '5': [80], '6': [6], '7': [70], '8': [85], '9': [67], '10': [76], '11': [55]}"
average,cosine,13,"{'0': [2, 5, 9, 10, 12, 18, 20, 24, 25, 27, 30, 61, 87, 89, 91, 92], '1': [81, 83, 84], '2': [46, 52, 78, 90], '3': [28, 59], '4': [86], '5': [22, 57], '6': [6], '7': [70], '8': [85], '9': [67], '10': [76], '11': [55], '12': [80]}"
average,cosine,14,"{'0': [2, 10, 12, 18, 20, 24, 25, 27, 30, 61, 92], '1': [81, 83, 84], '2': [5, 9, 87, 89, 91], '3': [28, 59], '4': [86], '5': [22, 57], '6': [46, 52, 78, 90], '7': [70], '8': [85], '9': [67], '10': [76], '11': [55], '12': [80], '13': [6]}"
average,cosine,15,"{'0': [5, 9, 87, 89, 91], '1': [81, 83, 84], '2': [2, 10, 18, 20, 24, 25, 27, 30, 61, 92], '3': [28, 59], '4': [86], '5': [22, 57], '6': [46, 52, 78, 90], '7': [70], '8': [85], '9': [67], '10': [76], '11': [55], '12': [80], '13': [6], '14': [12]}"
average,precomputed,2,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 76, 78, 80, 83, 84, 85, 86, 87, 89, 90, 91, 92], '1': [81]}"
average,precomputed,3,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 76, 78, 80, 84, 85, 86, 87, 89, 90, 91, 92], '1': [81], '2': [83]}"
average,precomputed,4,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 76, 78, 80, 85, 86, 87, 89, 90, 91, 92], '1': [84], '2': [83], '3': [81]}"
average,precomputed,5,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 80, 85, 86, 87, 89, 90, 91, 92], '1': [84], '2': [83], '3': [81], '4': [76]}"
average,precomputed,6,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 85, 86, 87, 89, 90, 91, 92], '1': [84], '2': [83], '3': [81], '4': [76], '5': [80]}"
average,precomputed,7,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 86, 87, 89, 90, 91, 92], '1': [84], '2': [85], '3': [81], '4': [76], '5': [80], '6': [83]}"
average,precomputed,8,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 78, 86, 87, 89, 90, 91, 92], '1': [84], '2': [85], '3': [81], '4': [76], '5': [80], '6': [83], '7': [70]}"
average,precomputed,9,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 78, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [76], '5': [80], '6': [83], '7': [70], '8': [81]}"
average,precomputed,10,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [78], '5': [80], '6': [83], '7': [70], '8': [81], '9': [76]}"
average,precomputed,11,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [78], '5': [80], '6': [83], '7': [70], '8': [81], '9': [76], '10': [46]}"
average,precomputed,12,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [84], '4': [78], '5': [80], '6': [83], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52]}"
average,precomputed,13,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '1': [86], '2': [90], '3': [84], '4': [78], '5': [85], '6': [83], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52], '12': [80]}"
average,precomputed,14,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '1': [86], '2': [90], '3': [84], '4': [78], '5': [85], '6': [83], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52], '12': [80], '13': [28]}"
average,precomputed,15,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '1': [86], '2': [90], '3': [84], '4': [78], '5': [85], '6': [83], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52], '12': [80], '13': [28], '14': [22]}"
complete,euclidean,2,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 78, 86, 87, 89, 90, 91, 92], '1': [70, 76, 80, 81, 83, 84, 85]}"
complete,euclidean,3,"{'0': [70, 76, 80, 81, 83, 84, 85], '1': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '2': [46, 52, 78, 86, 90]}"
complete,euclidean,4,"{'0': [70, 76, 80, 85], '1': [81, 83, 84], '2': [46, 52, 78, 86, 90], '3': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92]}"
complete,euclidean,5,"{'0': [81, 83, 84], '1': [70, 85], '2': [46, 52, 78, 86, 90], '3': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '4': [76, 80]}"
complete,euclidean,6,"{'0': [83, 84], '1': [70, 85], '2': [46, 52, 78, 86, 90], '3': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '4': [76, 80], '5': [81]}"
complete,euclidean,7,"{'0': [70, 85], '1': [76, 80], '2': [46, 52, 78, 86, 90], '3': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '4': [84], '5': [81], '6': [83]}"
complete,euclidean,8,"{'0': [76, 80], '1': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '2': [46, 52, 78, 86, 90], '3': [85], '4': [84], '5': [81], '6': [83], '7': [70]}"
complete,euclidean,9,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '1': [85], '2': [46, 52, 78, 86, 90], '3': [80], '4': [84], '5': [81], '6': [83], '7': [70], '8': [76]}"
complete,euclidean,10,"{'0': [46, 52, 78, 86, 90], '1': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92], '2': [22, 28, 57, 59, 67], '3': [80], '4': [85], '5': [81], '6': [83], '7': [70], '8': [76], '9': [84]}"
complete,euclidean,11,"{'0': [46, 52, 78, 90], '1': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92], '2': [22, 28, 57, 59, 67], '3': [80], '4': [86], '5': [81], '6': [83], '7': [70], '8': [76], '9': [84], '10': [85]}"
complete,euclidean,12,"{'0': [22, 28, 57, 59, 67], '1': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92], '2': [46, 52, 90], '3': [80], '4': [86], '5': [81], '6': [83], '7': [70], '8': [76], '9': [84], '10': [85], '11': [78]}"
complete,euclidean,13,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92], '1': [22, 57, 67], '2': [46, 52, 90], '3': [80], '4': [86], '5': [28, 59], '6': [83], '7': [70], '8': [76], '9': [84], '10': [85], '11': [78], '12': [81]}"
complete,euclidean,14,"{'0': [5, 6, 18, 20, 25, 30, 61, 87, 89, 91, 92], '1': [22, 57, 67], '2': [46, 52, 90], '3': [80], '4': [86], '5': [28, 59], '6': [2, 9, 10, 12, 24, 27, 55], '7': [70], '8': [76], '9': [84], '10': [85], '11': [78], '12': [81], '13': [83]}"
complete,euclidean,15,"{'0': [22, 57, 67], '1': [20, 25, 30, 61, 87, 89, 92], '2': [46, 52, 90], '3': [80], '4': [86], '5': [28, 59], '6': [5, 6, 18, 91], '7': [70], '8': [76], '9': [84], '10': [85], '11': [78], '12': [81], '13': [83], '14': [2, 9, 10, 12, 24, 27, 55]}"
complete,manhattan,2,"{'0': [70, 76, 78, 80, 81, 83, 84, 85, 86], '1': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92]}"
complete,manhattan,3,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [70, 76, 78, 80, 85, 86], '2': [81, 83, 84]}"
complete,manhattan,4,"{'0': [70, 76, 78, 80, 85, 86], '1': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '2': [81, 83, 84], '3': [46, 52, 90]}"
complete,manhattan,5,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '1': [70, 78, 86], '2': [81, 83, 84], '3': [46, 52, 90], '4': [76, 80, 85]}"
complete,manhattan,6,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 67, 87, 89, 91, 92], '1': [70, 78, 86], '2': [81, 83, 84], '3': [46, 52, 90], '4': [76, 80, 85], '5': [22, 28, 57, 59]}"
complete,manhattan,7,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 55, 61, 89, 92], '1': [70, 78, 86], '2': [81, 83, 84], '3': [46, 52, 90], '4': [76, 80, 85], '5': [22, 28, 57, 59], '6': [30, 67, 87, 91]}"
complete,manhattan,8,"{'0': [70, 78, 86], '1': [2, 5, 9, 10, 12, 20, 24, 27, 55, 89, 92], '2': [81, 83, 84], '3': [6, 18, 25, 61], '4': [76, 80, 85], '5': [22, 28, 57, 59], '6': [30, 67, 87, 91], '7': [46, 52, 90]}"
complete,manhattan,9,"{'0': [81, 83, 84], '1': [2, 5, 9, 10, 12, 20, 24, 27, 55, 89, 92], '2': [30, 67, 87, 91], '3': [6, 18, 25, 61], '4': [76, 80, 85], '5': [22, 28, 57, 59], '6': [70, 86], '7': [46, 52, 90], '8': [78]}"
complete,manhattan,10,"{'0': [30, 67, 87, 91], '1': [2, 5, 9, 10, 12, 20, 24, 27, 55, 89, 92], '2': [22, 28, 57, 59], '3': [6, 18, 25, 61], '4': [76, 80, 85], '5': [83, 84], '6': [70, 86], '7': [46, 52, 90], '8': [78], '9': [81]}"
complete,manhattan,11,"{'0': [2, 5, 9, 10, 12, 20, 24, 27, 55, 89, 92], '1': [6, 18, 25, 61], '2': [22, 28, 57, 59], '3': [30, 87, 91], '4': [76, 80, 85], '5': [83, 84], '6': [70, 86], '7': [46, 52, 90], '8': [78], '9': [81], '10': [67]}"
complete,manhattan,12,"{'0': [6, 18, 25, 61], '1': [2, 24, 27, 55, 89], '2': [22, 28, 57, 59], '3': [30, 87, 91], '4': [76, 80, 85], '5': [5, 9, 10, 12, 20, 92], '6': [70, 86], '7': [46, 52, 90], '8': [78], '9': [81], '10': [67], '11': [83, 84]}"
complete,manhattan,13,"{'0': [22, 28, 57, 59], '1': [2, 24, 27, 55, 89], '2': [5, 9, 10, 12, 20, 92], '3': [30, 87, 91], '4': [76, 80, 85], '5': [18, 25, 61], '6': [70, 86], '7': [46, 52, 90], '8': [78], '9': [81], '10': [67], '11': [83, 84], '12': [6]}"
complete,manhattan,14,"{'0': [22, 57, 59], '1': [2, 24, 27, 55, 89], '2': [5, 9, 10, 12, 20, 92], '3': [30, 87, 91], '4': [76, 80, 85], '5': [18, 25, 61], '6': [70, 86], '7': [46, 52, 90], '8': [78], '9': [81], '10': [67], '11': [83, 84], '12': [6], '13': [28]}"
complete,manhattan,15,"{'0': [2, 24, 27, 55, 89], '1': [76, 80, 85], '2': [5, 9, 10, 12, 20, 92], '3': [30, 87, 91], '4': [22, 57], '5': [18, 25, 61], '6': [70, 86], '7': [46, 52, 90], '8': [78], '9': [81], '10': [67], '11': [83, 84], '12': [6], '13': [28], '14': [59]}"
complete,cosine,2,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '1': [46, 52, 70, 76, 78, 80, 81, 83, 84, 85, 86, 90]}"
complete,cosine,3,"{'0': [46, 52, 70, 76, 78, 80, 81, 83, 84, 85, 86, 90], '1': [2, 5, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92], '2': [6, 22, 28, 57, 59, 67]}"
complete,cosine,4,"{'0': [2, 5, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92], '1': [46, 52, 70, 78, 86, 90], '2': [6, 22, 28, 57, 59, 67], '3': [76, 80, 81, 83, 84, 85]}"
complete,cosine,5,"{'0': [6, 22, 28, 57, 59, 67], '1': [46, 52, 70, 78, 86, 90], '2': [5, 12, 20, 27, 30, 87, 89, 91, 92], '3': [76, 80, 81, 83, 84, 85], '4': [2, 9, 10, 18, 24, 25, 55, 61]}"
complete,cosine,6,"{'0': [5, 12, 20, 27, 30, 87, 89, 91, 92], '1': [46, 52, 70, 78, 86, 90], '2': [6, 28, 59], '3': [76, 80, 81, 83, 84, 85], '4': [2, 9, 10, 18, 24, 25, 55, 61], '5': [22, 57, 67]}"
complete,cosine,7,"{'0': [6, 28, 59], '1': [46, 52, 70, 78, 86, 90], '2': [22, 57, 67], '3': [76, 80, 81, 83, 84, 85], '4': [2, 9, 10, 18, 24, 25, 55, 61], '5': [5, 87, 89, 91], '6': [12, 20, 27, 30, 92]}"
complete,cosine,8,"{'0': [46, 52, 70, 78, 86, 90], '1': [2, 9, 10, 18, 24, 25, 55, 61], '2': [22, 57, 67], '3': [76, 80, 81, 83, 84, 85], '4': [28, 59], '5': [5, 87, 89, 91], '6': [12, 20, 27, 30, 92], '7': [6]}"
complete,cosine,9,"{'0': [70, 86], '1': [2, 9, 10, 18, 24, 25, 55, 61], '2': [22, 57, 67], '3': [76, 80, 81, 83, 84, 85], '4': [28, 59], '5': [5, 87, 89, 91], '6': [12, 20, 27, 30, 92], '7': [6], '8': [46, 52, 78, 90]}"
complete,cosine,10,"{'0': [2, 9, 10, 18, 24, 25, 55, 61], '1': [76, 80, 81, 83, 84, 85], '2': [22, 57, 67], '3': [46, 52, 78, 90], '4': [28, 59], '5': [5, 87, 89, 91], '6': [12, 20, 27, 30, 92], '7': [6], '8': [86], '9': [70]}"
complete,cosine,11,"{'0': [22, 57, 67], '1': [76, 80, 81, 83, 84, 85], '2': [2, 10, 18, 24, 25, 61], '3': [46, 52, 78, 90], '4': [9, 55], '5': [5, 87, 89, 91], '6': [12, 20, 27, 30, 92], '7': [6], '8': [86], '9': [70], '10': [28, 59]}"
complete,cosine,12,"{'0': [76, 80, 81, 83, 84, 85], '1': [9, 55], '2': [2, 10, 18, 24, 25, 61], '3': [46, 52, 78, 90], '4': [28, 59], '5': [5, 87, 89, 91], '6': [12, 20, 27, 30, 92], '7': [6], '8': [86], '9': [70], '10': [22, 57], '11': [67]}"
complete,cosine,13,"{'0': [2, 10, 18, 24, 25, 61], '1': [9, 55], '2': [76, 80, 81, 83, 84], '3': [46, 52, 78, 90], '4': [28, 59], '5': [5, 87, 89, 91], '6': [12, 20, 27, 30, 92], '7': [6], '8': [86], '9': [70], '10': [22, 57], '11': [67], '12': [85]}"
