Linkage,Affinity,Number_of_Clusters,TASK_Group
average,manhattan,14,"{'0': [1, 9], '1': [18, 27, 28], '2': [26], '3': [8, 12, 13, 21, 25], '4': [4, 6, 7, 11, 19, 20, 22, 23, 24], '5': [17], '6': [14], '7': [15], '8': [2], '9': [3], '10': [5], '11': [0], '12': [16], '13': [10]}"
average,manhattan,15,"{'0': [18, 27, 28], '1': [8, 12, 13, 21, 25], '2': [26], '3': [15], '4': [4, 6, 7, 11, 19, 20, 22, 23, 24], '5': [17], '6': [14], '7': [9], '8': [2], '9': [3], '10': [5], '11': [0], '12': [16], '13': [10], '14': [1]}"
average,cosine,2,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [16]}"
average,cosine,3,"{'0': [1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [16], '2': [0, 9, 18]}"
average,cosine,4,"{'0': [0, 9, 18], '1': [3, 27, 28], '2': [1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26], '3': [16]}"
average,cosine,5,"{'0': [1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26], '1': [3, 27, 28], '2': [9, 18], '3': [16], '4': [0]}"
average,cosine,6,"{'0': [1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 19, 20, 21, 25, 26], '1': [3, 27, 28], '2': [14, 15, 17, 22, 23, 24], '3': [16], '4': [0], '5': [9, 18]}"
average,cosine,7,"{'0': [1, 2, 4, 5, 6, 7, 8, 11, 12, 13, 19, 20, 21, 25, 26], '1': [3, 27, 28], '2': [14, 15, 17, 22, 23, 24], '3': [16], '4': [0], '5': [9, 18], '6': [10]}"
average,cosine,8,"{'0': [3, 27, 28], '1': [2, 4, 5, 6, 7, 8, 11, 12, 13, 19, 20, 21, 25, 26], '2': [14, 15, 17, 22, 23, 24], '3': [16], '4': [0], '5': [9, 18], '6': [10], '7': [1]}"
average,cosine,9,"{'0': [14, 15, 17, 22, 23, 24], '1': [2, 4, 5, 6, 7, 8, 11, 12, 13, 19, 20, 21, 25, 26], '2': [3, 28], '3': [27], '4': [0], '5': [9, 18], '6': [10], '7': [1], '8': [16]}"
average,cosine,10,"{'0': [3, 28], '1': [2, 4, 5, 6, 7, 8, 11, 12, 13, 19, 20, 21, 25, 26], '2': [15, 17, 22, 23, 24], '3': [27], '4': [14], '5': [9, 18], '6': [10], '7': [1], '8': [16], '9': [0]}"
average,cosine,11,"{'0': [15, 17, 22, 23, 24], '1': [2, 4, 5, 6, 7, 8, 11, 12, 13, 19, 20, 21, 25, 26], '2': [9, 18], '3': [27], '4': [14], '5': [28], '6': [10], '7': [1], '8': [16], '9': [0], '10': [3]}"
average,cosine,12,"{'0': [9, 18], '1': [2, 4, 5, 6, 7, 8, 11, 12, 13, 19, 20, 21, 25, 26], '2': [17, 22, 23, 24], '3': [27], '4': [14], '5': [28], '6': [10], '7': [1], '8': [16], '9': [0], '10': [3], '11': [15]}"
average,cosine,13,"{'0': [17, 22, 23, 24], '1': [2, 4, 5, 6, 7, 8, 11, 12, 13, 19, 20, 21, 25, 26], '2': [28], '3': [27], '4': [14], '5': [18], '6': [10], '7': [1], '8': [16], '9': [0], '10': [3], '11': [15], '12': [9]}"
average,cosine,14,"{'0': [2, 4, 5, 6, 7, 8, 11, 12, 13, 19, 20, 21, 25, 26], '1': [22, 23], '2': [17, 24], '3': [27], '4': [14], '5': [18], '6': [28], '7': [1], '8': [16], '9': [0], '10': [3], '11': [15], '12': [9], '13': [10]}"
average,cosine,15,"{'0': [2, 5, 6, 7, 8, 11, 12, 13, 19, 21, 25], '1': [22, 23], '2': [4, 20, 26], '3': [27], '4': [14], '5': [18], '6': [17, 24], '7': [1], '8': [16], '9': [0], '10': [3], '11': [15], '12': [9], '13': [10], '14': [28]}"
average,precomputed,2,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [16]}"
average,precomputed,3,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [16], '2': [10, 15]}"
average,precomputed,4,"{'0': [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [16], '2': [10, 15], '3': [0]}"
average,precomputed,5,"{'0': [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [16], '2': [10, 15], '3': [0], '4': [14]}"
average,precomputed,6,"{'0': [10, 15], '1': [16], '2': [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28], '3': [0], '4': [14], '5': [27]}"
average,precomputed,7,"{'0': [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28], '1': [16], '2': [27], '3': [0], '4': [14], '5': [15], '6': [10]}"
average,precomputed,8,"{'0': [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28], '1': [16], '2': [27], '3': [1], '4': [14], '5': [15], '6': [10], '7': [0]}"
average,precomputed,9,"{'0': [2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28], '1': [16], '2': [27], '3': [9], '4': [14], '5': [15], '6': [10], '7': [0], '8': [1]}"
average,precomputed,10,"{'0': [3, 4, 5, 6, 7, 8, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28], '1': [16], '2': [27], '3': [9], '4': [14], '5': [15], '6': [10], '7': [0], '8': [1], '9': [2]}"
average,precomputed,11,"{'0': [3, 4, 5, 6, 7, 8, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26], '1': [28], '2': [27], '3': [9], '4': [16], '5': [15], '6': [10], '7': [0], '8': [1], '9': [2], '10': [14]}"
average,precomputed,12,"{'0': [3, 4, 5, 6, 7, 8, 11, 12, 13, 17, 19, 20, 21, 22, 23, 24, 25, 26], '1': [28], '2': [27], '3': [9], '4': [16], '5': [18], '6': [10], '7': [0], '8': [1], '9': [2], '10': [14], '11': [15]}"
average,precomputed,13,"{'0': [4, 5, 6, 7, 8, 11, 12, 13, 17, 19, 20, 21, 22, 23, 24, 25, 26], '1': [28], '2': [27], '3': [9], '4': [16], '5': [18], '6': [10], '7': [0], '8': [1], '9': [2], '10': [14], '11': [15], '12': [3]}"
average,precomputed,14,"{'0': [4, 6, 7, 8, 11, 12, 13, 17, 19, 20, 21, 22, 23, 24, 25, 26], '1': [28], '2': [27], '3': [9], '4': [16], '5': [18], '6': [10], '7': [0], '8': [1], '9': [2], '10': [14], '11': [15], '12': [3], '13': [5]}"
average,precomputed,15,"{'0': [4, 6, 7, 8, 11, 12, 13, 17, 19, 20, 21, 22, 23, 24, 25], '1': [28], '2': [27], '3': [9], '4': [16], '5': [18], '6': [26], '7': [0], '8': [1], '9': [2], '10': [14], '11': [15], '12': [3], '13': [5], '14': [10]}"
complete,euclidean,2,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [10, 15, 16]}"
complete,euclidean,3,"{'0': [10, 15, 16], '1': [0, 1, 2, 3, 5, 9, 18, 27, 28], '2': [4, 6, 7, 8, 11, 12, 13, 14, 17, 19, 20, 21, 22, 23, 24, 25, 26]}"
complete,euclidean,4,"{'0': [0, 1, 2, 3, 5, 9, 18, 27, 28], '1': [10, 15], '2': [4, 6, 7, 8, 11, 12, 13, 14, 17, 19, 20, 21, 22, 23, 24, 25, 26], '3': [16]}"
complete,euclidean,5,"{'0': [0, 1, 2, 5], '1': [3, 9, 18, 27, 28], '2': [4, 6, 7, 8, 11, 12, 13, 14, 17, 19, 20, 21, 22, 23, 24, 25, 26], '3': [16], '4': [10, 15]}"
complete,euclidean,6,"{'0': [3, 9, 18, 27, 28], '1': [0, 2], '2': [4, 6, 7, 8, 11, 12, 13, 14, 17, 19, 20, 21, 22, 23, 24, 25, 26], '3': [16], '4': [10, 15], '5': [1, 5]}"
complete,euclidean,7,"{'0': [0, 2], '1': [10, 15], '2': [4, 6, 7, 8, 11, 12, 13, 14, 17, 19, 20, 21, 22, 23, 24, 25, 26], '3': [16], '4': [3, 27, 28], '5': [1, 5], '6': [9, 18]}"
complete,euclidean,8,"{'0': [4, 6, 7, 8, 11, 12, 13, 14, 17, 19, 20, 21, 22, 23, 24, 25, 26], '1': [10, 15], '2': [1, 5], '3': [16], '4': [3, 27, 28], '5': [2], '6': [9, 18], '7': [0]}"
complete,euclidean,9,"{'0': [1, 5], '1': [10, 15], '2': [14, 17, 26], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '4': [3, 27, 28], '5': [2], '6': [9, 18], '7': [0], '8': [16]}"
complete,euclidean,10,"{'0': [10, 15], '1': [3, 27, 28], '2': [14, 17, 26], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '4': [5], '5': [2], '6': [9, 18], '7': [0], '8': [16], '9': [1]}"
complete,euclidean,11,"{'0': [14, 17, 26], '1': [3, 27, 28], '2': [9, 18], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '4': [10], '5': [2], '6': [15], '7': [0], '8': [16], '9': [1], '10': [5]}"
complete,euclidean,12,"{'0': [3, 27, 28], '1': [17, 26], '2': [9, 18], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '4': [10], '5': [14], '6': [15], '7': [0], '8': [16], '9': [1], '10': [5], '11': [2]}"
complete,euclidean,13,"{'0': [3, 28], '1': [17, 26], '2': [9, 18], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '4': [10], '5': [27], '6': [15], '7': [0], '8': [16], '9': [1], '10': [5], '11': [2], '12': [14]}"
complete,euclidean,14,"{'0': [9, 18], '1': [17, 26], '2': [28], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '4': [10], '5': [27], '6': [15], '7': [0], '8': [16], '9': [1], '10': [5], '11': [2], '12': [14], '13': [3]}"
complete,euclidean,15,"{'0': [17, 26], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [28], '3': [18], '4': [10], '5': [27], '6': [15], '7': [0], '8': [16], '9': [1], '10': [5], '11': [2], '12': [14], '13': [3], '14': [9]}"
complete,manhattan,2,"{'0': [0, 1, 2, 3, 5, 9, 10, 14, 15, 16, 17, 18, 26, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25]}"
complete,manhattan,3,"{'0': [15, 16], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [0, 1, 2, 3, 5, 9, 10, 14, 17, 18, 26, 27, 28]}"
complete,manhattan,4,"{'0': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '1': [16], '2': [0, 1, 2, 3, 5, 9, 10, 14, 17, 18, 26, 27, 28], '3': [15]}"
complete,manhattan,5,"{'0': [0, 1, 2, 3, 5, 9, 10, 14, 17, 18, 26, 27, 28], '1': [8, 12, 13, 21, 25], '2': [4, 6, 7, 11, 19, 20, 22, 23, 24], '3': [15], '4': [16]}"
complete,manhattan,6,"{'0': [0, 1, 2, 5, 9, 10, 14], '1': [8, 12, 13, 21, 25], '2': [3, 17, 18, 26, 27, 28], '3': [15], '4': [16], '5': [4, 6, 7, 11, 19, 20, 22, 23, 24]}"
complete,manhattan,7,"{'0': [0, 1, 9, 10, 14], '1': [8, 12, 13, 21, 25], '2': [3, 17, 18, 26, 27, 28], '3': [15], '4': [16], '5': [4, 6, 7, 11, 19, 20, 22, 23, 24], '6': [2, 5]}"
complete,manhattan,8,"{'0': [3, 17, 18, 26, 27, 28], '1': [8, 12, 13, 21, 25], '2': [0, 1, 9, 14], '3': [15], '4': [16], '5': [4, 6, 7, 11, 19, 20, 22, 23, 24], '6': [2, 5], '7': [10]}"
complete,manhattan,9,"{'0': [3, 18, 27, 28], '1': [8, 12, 13, 21, 25], '2': [0, 1, 9, 14], '3': [17, 26], '4': [16], '5': [4, 6, 7, 11, 19, 20, 22, 23, 24], '6': [2, 5], '7': [10], '8': [15]}"
complete,manhattan,10,"{'0': [0, 1, 9, 14], '1': [8, 12, 13, 21, 25], '2': [2, 5], '3': [17, 26], '4': [16], '5': [4, 6, 7, 11, 19, 20, 22, 23, 24], '6': [18, 27, 28], '7': [10], '8': [15], '9': [3]}"
complete,manhattan,11,"{'0': [2, 5], '1': [8, 12, 13, 21, 25], '2': [4, 6, 7, 11, 19, 20, 22, 23, 24], '3': [17, 26], '4': [16], '5': [1, 9, 14], '6': [18, 27, 28], '7': [10], '8': [15], '9': [3], '10': [0]}"
complete,manhattan,12,"{'0': [4, 6, 7, 11, 19, 20, 22, 23, 24], '1': [8, 12, 13, 21, 25], '2': [1, 9, 14], '3': [17, 26], '4': [16], '5': [5], '6': [18, 27, 28], '7': [10], '8': [15], '9': [3], '10': [0], '11': [2]}"
complete,manhattan,13,"{'0': [8, 12, 13, 21, 25], '1': [17, 26], '2': [1, 9, 14], '3': [4, 6, 20, 22, 23, 24], '4': [16], '5': [7, 11, 19], '6': [18, 27, 28], '7': [10], '8': [15], '9': [3], '10': [0], '11': [2], '12': [5]}"
complete,manhattan,14,"{'0': [1, 9, 14], '1': [17, 26], '2': [18, 27, 28], '3': [4, 6, 20, 22, 23, 24], '4': [16], '5': [7, 11, 19], '6': [13, 21], '7': [10], '8': [15], '9': [3], '10': [0], '11': [2], '12': [5], '13': [8, 12, 25]}"
complete,manhattan,15,"{'0': [17, 26], '1': [1, 9], '2': [18, 27, 28], '3': [4, 6, 20, 22, 23, 24], '4': [16], '5': [7, 11, 19], '6': [13, 21], '7': [10], '8': [15], '9': [3], '10': [0], '11': [2], '12': [5], '13': [8, 12, 25], '14': [14]}"
complete,cosine,2,"{'0': [0, 1, 2, 3, 5, 6, 9, 10, 11, 12, 15, 18, 19, 25, 27, 28], '1': [4, 7, 8, 13, 14, 16, 17, 20, 21, 22, 23, 24, 26]}"
complete,cosine,3,"{'0': [3, 9, 10, 15, 18, 27, 28], '1': [4, 7, 8, 13, 14, 16, 17, 20, 21, 22, 23, 24, 26], '2': [0, 1, 2, 5, 6, 11, 12, 19, 25]}"
complete,cosine,4,"{'0': [4, 7, 8, 13, 14, 16, 17, 20, 21, 22, 23, 24, 26], '1': [3, 9, 18, 27, 28], '2': [0, 1, 2, 5, 6, 11, 12, 19, 25], '3': [10, 15]}"
complete,cosine,5,"{'0': [3, 9, 18, 27, 28], '1': [4, 7, 8, 13, 14, 17, 20, 21, 22, 23, 24, 26], '2': [0, 1, 2, 5, 6, 11, 12, 19, 25], '3': [10, 15], '4': [16]}"
complete,cosine,6,"{'0': [0, 1, 2, 5, 6, 11, 12, 19, 25], '1': [4, 7, 8, 13, 14, 17, 20, 21, 22, 23, 24, 26], '2': [3, 27, 28], '3': [10, 15], '4': [16], '5': [9, 18]}"
complete,cosine,7,"{'0': [4, 7, 8, 13, 14, 17, 20, 21, 22, 23, 24, 26], '1': [0, 2, 6, 11, 12], '2': [1, 5, 19, 25], '3': [10, 15], '4': [16], '5': [9, 18], '6': [3, 27, 28]}"
complete,cosine,8,"{'0': [0, 2, 6, 11, 12], '1': [14, 17, 22, 23, 24], '2': [1, 5, 19, 25], '3': [4, 7, 8, 13, 20, 21, 26], '4': [16], '5': [9, 18], '6': [3, 27, 28], '7': [10, 15]}"
complete,cosine,9,"{'0': [14, 17, 22, 23, 24], '1': [4, 7, 8, 13, 20, 21, 26], '2': [1, 5, 19, 25], '3': [10, 15], '4': [16], '5': [9, 18], '6': [3, 27, 28], '7': [2, 6, 11, 12], '8': [0]}"
complete,cosine,10,"{'0': [1, 5, 19, 25], '1': [4, 7, 8, 13, 20, 21, 26], '2': [3, 27, 28], '3': [10, 15], '4': [16], '5': [9, 18], '6': [17, 22, 23, 24], '7': [2, 6, 11, 12], '8': [0], '9': [14]}"
complete,cosine,11,"{'0': [3, 27, 28], '1': [4, 7, 8, 13, 20, 21, 26], '2': [17, 22, 23, 24], '3': [10, 15], '4': [16], '5': [9, 18], '6': [5, 19, 25], '7': [2, 6, 11, 12], '8': [0], '9': [14], '10': [1]}"
complete,cosine,12,"{'0': [4, 7, 8, 13, 20, 21, 26], '1': [3, 28], '2': [17, 22, 23, 24], '3': [10, 15], '4': [16], '5': [9, 18], '6': [5, 19, 25], '7': [2, 6, 11, 12], '8': [0], '9': [14], '10': [1], '11': [27]}"
complete,cosine,13,"{'0': [3, 28], '1': [10, 15], '2': [17, 22, 23, 24], '3': [2, 6, 11, 12], '4': [16], '5': [9, 18], '6': [5, 19, 25], '7': [4, 20, 26], '8': [0], '9': [14], '10': [1], '11': [27], '12': [7, 8, 13, 21]}"
complete,cosine,14,"{'0': [17, 22, 23, 24], '1': [10, 15], '2': [9, 18], '3': [2, 6, 11, 12], '4': [16], '5': [7, 8, 13, 21], '6': [5, 19, 25], '7': [4, 20, 26], '8': [0], '9': [14], '10': [1], '11': [27], '12': [28], '13': [3]}"
complete,cosine,15,"{'0': [10, 15], '1': [2, 6, 11, 12], '2': [9, 18], '3': [22, 23], '4': [16], '5': [7, 8, 13, 21], '6': [5, 19, 25], '7': [4, 20, 26], '8': [0], '9': [14], '10': [1], '11': [27], '12': [28], '13': [3], '14': [17, 24]}"
complete,precomputed,2,"{'0': [14, 15, 16, 17, 24], '1': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]}"
complete,precomputed,3,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28], '1': [14, 15, 17, 24], '2': [16]}"
complete,precomputed,4,"{'0': [0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 18, 19, 20, 21, 22, 23, 25, 26], '1': [3, 10, 27, 28], '2': [16], '3': [14, 15, 17, 24]}"
complete,precomputed,5,"{'0': [0, 2, 4, 6, 7, 8, 9, 11, 12, 13, 18, 19, 20, 21, 22, 23, 25, 26], '1': [3, 10, 27, 28], '2': [16], '3': [14, 15, 17, 24], '4': [1, 5]}"
complete,precomputed,6,"{'0': [3, 10, 27, 28], '1': [0, 2, 4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '2': [9, 18], '3': [14, 15, 17, 24], '4': [1, 5], '5': [16]}"
complete,precomputed,7,"{'0': [0, 2, 4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '1': [1, 5], '2': [9, 18], '3': [14, 15, 17, 24], '4': [3, 27, 28], '5': [16], '6': [10]}"
complete,precomputed,8,"{'0': [1, 5], '1': [3, 27, 28], '2': [9, 18], '3': [14, 15, 17, 24], '4': [2, 4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '5': [16], '6': [10], '7': [0]}"
complete,precomputed,9,"{'0': [3, 27, 28], '1': [2, 4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '2': [9, 18], '3': [14, 15, 17, 24], '4': [5], '5': [16], '6': [10], '7': [0], '8': [1]}"
complete,precomputed,10,"{'0': [2, 4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '1': [14, 15, 17, 24], '2': [9, 18], '3': [3, 28], '4': [27], '5': [16], '6': [10], '7': [0], '8': [1], '9': [5]}"
complete,precomputed,11,"{'0': [14, 15, 17, 24], '1': [3, 28], '2': [9, 18], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '4': [27], '5': [16], '6': [10], '7': [0], '8': [1], '9': [5], '10': [2]}"
complete,precomputed,12,"{'0': [3, 28], '1': [15, 17, 24], '2': [9, 18], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '4': [27], '5': [16], '6': [10], '7': [0], '8': [1], '9': [5], '10': [2], '11': [14]}"
complete,precomputed,13,"{'0': [9, 18], '1': [15, 17, 24], '2': [28], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 25, 26], '4': [27], '5': [16], '6': [10], '7': [0], '8': [1], '9': [5], '10': [2], '11': [14], '12': [3]}"
